종목,심볼번호,고유번호,종목번호,업종,업종코드,WICS,WICS코드,2015_1_avg_salary,2015_2_avg_salary,2015_3_avg_salary,2016_1_avg_salary,2016_2_avg_salary,2016_3_avg_salary,2017_1_avg_salary,2017_2_avg_salary,2017_3_avg_salary,2018_1_avg_salary,2018_2_avg_salary,2018_3_avg_salary,2019_1_avg_salary,2019_2_avg_salary,2019_3_avg_salary,2020_1_avg_salary,2020_2_avg_salary,2020_3_avg_salary,2015_1_employee_num,2015_2_employee_num,2015_3_employee_num,2016_1_employee_num,2016_2_employee_num,2016_3_employee_num,2017_1_employee_num,2017_2_employee_num,2017_3_employee_num,2018_1_employee_num,2018_2_employee_num,2018_3_employee_num,2019_1_employee_num,2019_2_employee_num,2019_3_employee_num,2020_1_employee_num,2020_2_employee_num,2020_3_employee_num,2015_1_자산총계,2015_2_자산총계,2015_3_자산총계,2016_1_자산총계,2016_2_자산총계,2016_3_자산총계,2017_1_자산총계,2017_2_자산총계,2017_3_자산총계,2018_1_자산총계,2018_2_자산총계,2018_3_자산총계,2019_1_자산총계,2019_2_자산총계,2019_3_자산총계,2020_1_자산총계,2020_2_자산총계,2020_3_자산총계,2015_1_부채총계,2015_2_부채총계,2015_3_부채총계,2016_1_부채총계,2016_2_부채총계,2016_3_부채총계,2017_1_부채총계,2017_2_부채총계,2017_3_부채총계,2018_1_부채총계,2018_2_부채총계,2018_3_부채총계,2019_1_부채총계,2019_2_부채총계,2019_3_부채총계,2020_1_부채총계,2020_2_부채총계,2020_3_부채총계,2015_1_자본총계,2015_2_자본총계,2015_3_자본총계,2016_1_자본총계,2016_2_자본총계,2016_3_자본총계,2017_1_자본총계,2017_2_자본총계,2017_3_자본총계,2018_1_자본총계,2018_2_자본총계,2018_3_자본총계,2019_1_자본총계,2019_2_자본총계,2019_3_자본총계,2020_1_자본총계,2020_2_자본총계,2020_3_자본총계,2015_1_매출액,2015_2_매출액,2015_3_매출액,2016_1_매출액,2016_2_매출액,2016_3_매출액,2017_1_매출액,2017_2_매출액,2017_3_매출액,2018_1_매출액,2018_2_매출액,2018_3_매출액,2019_1_매출액,2019_2_매출액,2019_3_매출액,2020_1_매출액,2020_2_매출액,2020_3_매출액,2015_1_당기순이익,2015_2_당기순이익,2015_3_당기순이익,2016_1_당기순이익,2016_2_당기순이익,2016_3_당기순이익,2017_1_당기순이익,2017_2_당기순이익,2017_3_당기순이익,2018_1_당기순이익,2018_2_당기순이익,2018_3_당기순이익,2019_1_당기순이익,2019_2_당기순이익,2019_3_당기순이익,2020_1_당기순이익,2020_2_당기순이익,2020_3_당기순이익,2015_4_자산총계,2016_4_자산총계,2017_4_자산총계,2018_4_자산총계,2019_4_자산총계,2020_4_자산총계,2015_4_부채총계,2016_4_부채총계,2017_4_부채총계,2018_4_부채총계,2019_4_부채총계,2020_4_부채총계,2015_4_자본총계,2016_4_자본총계,2017_4_자본총계,2018_4_자본총계,2019_4_자본총계,2020_4_자본총계,2015_4_매출액,2016_4_매출액,2017_4_매출액,2018_4_매출액,2019_4_매출액,2020_4_매출액,2015_4_당기순이익,2016_4_당기순이익,2017_4_당기순이익,2018_4_당기순이익,2019_4_당기순이익,2020_4_당기순이익,2015_1_시가,2015_2_시가,2015_3_시가,2015_4_시가,2016_1_시가,2016_2_시가,2016_3_시가,2016_4_시가,2017_1_시가,2017_2_시가,2017_3_시가,2017_4_시가,2018_1_시가,2018_2_시가,2018_3_시가,2018_4_시가,2019_1_시가,2019_2_시가,2019_3_시가,2019_4_시가,2020_1_시가,2020_2_시가,2020_3_시가,2020_4_시가
셀트리온헬스케어,A091990,554024,KR7091990002,도매,84,제약,G352020,-,-,-,-,-,-,13671201,25375000,36375000,54375000,128750000,134750000,18000000,97625000,113875000,30000000,89375000,128250000,-,-,-,-,-,-,115,115,126,133,132,146,132,122,123,124,126,133,-,-,-,-,-,-,-,1.90959E+12,2.92009E+12,2.88623E+12,2.88179E+12,2.98328E+12,2.86789E+12,2.93865E+12,2.91306E+12,3.11651E+12,3.32826E+12,3.59502E+12,-,-,-,-,-,-,-,1.18282E+12,1.1564E+12,1.1117E+12,1.09281E+12,1.19622E+12,1.24749E+12,1.30934E+12,1.28259E+12,1.37385E+12,1.53942E+12,1.71911E+12,-,-,-,-,-,-,-,7.26765E+11,1.76369E+12,1.77453E+12,1.78898E+12,1.78706E+12,1.6204E+12,1.62931E+12,1.63046E+12,1.74265E+12,1.78884E+12,1.87591E+12,-,-,-,-,-,-,-,2.37501E+11,1.98049E+11,1.28366E+11,1.83753E+11,2.12671E+11,2.20513E+11,2.84767E+11,2.82036E+11,3.56902E+11,4.20284E+11,4.63416E+11,-,-,-,-,-,-,-,77543917833,30714274484,60505014233,10981699330,6382502867,5840457240,8477851668,10141683257,76192957052,46425554323,86095578965,-,-,2874945687952,2948569159215,2848904874116,3739698458262,-,-,1167472385806,1313090664811,1183011066877,1806768713483,-,-,1707473302146,1635478494404,1665893807239,1932929744779,-,-,920921743248,713487407415,1100877966455,1627596815280,-,-,157438653868,11386139801,64961999795,240406565499,-,-,-,-,-,-,-,-,-,-,51000,82753,97649,102051,84171,64824,61675,53358,47937,44947,68942,109738,86104,152104
에코프로비엠,A247540,1160363,KR7247540008,일반전기전자,72,전기제품,G453520,-,-,-,-,-,-,-,-,-,-,-,-,3888750,6042500,5076750,10954000,3694000,5550000,-,-,-,-,-,-,-,-,-,-,-,-,828,826,855,866,871,915,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.53124E+11,7.06845E+11,7.42198E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.77507E+11,3.08408E+11,3.01834E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.75618E+11,3.98438E+11,4.40365E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.6768E+11,1.89943E+11,2.50204E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8409125418,13991023309,13651433168,-,-,-,-,-,798986124781,-,-,-,-,-,331668500645,-,-,-,-,-,467317624136,-,-,-,-,-,854748843876,-,-,-,-,-,46658311822,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60100,60000,48750,49300,63000,124600,136000,159900
펄어비스,A263750,1152470,KR7263750002,디지털컨텐츠,154,게임엔터테인먼트,G502040,-,-,-,-,-,-,-,-,13250000,16382500,35444750,44037.5,34445500,46411500,55260250,17689500,36602500,55256250,-,-,-,-,-,-,-,-,288,404,469,518,662,714,777,832,777,761,-,-,-,-,-,-,-,-,-,3.22607E+11,3.92105E+11,4.66576E+11,7.88742E+11,8.25827E+11,8.99334E+11,9.46583E+11,9.91317E+11,9.96861E+11,-,-,-,-,-,-,-,-,-,37414715603,49108952770,71143916076,3.55151E+11,3.32839E+11,3.54363E+11,2.94179E+11,3.19362E+11,3.02576E+11,-,-,-,-,-,-,-,-,-,2.85193E+11,3.42996E+11,3.95432E+11,4.33591E+11,4.92988E+11,5.44971E+11,6.52404E+11,6.71955E+11,6.94285E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27833316635,52160553956,51710520053,14147362257,51571951761,43835339595,48332557501,23626990163,27770698644,-,-,296580573490,712530156692,867391014845,897191642084,-,-,21383261543,304504407755,278374337593,260280600086,-,-,275197311947,408025748937,589016677252,636911041998,-,-,-,-,-,-,-,-,14730523696,146446177343,157651213701,100853964155,-,-,-,-,-,-,-,-,-,-,22880,40200,46640,45380,42520,35800,33680,42460,39780,37940,34780,41180,40220,53480
엘앤에프,A066970,398701,KR7066970005,IT부품,160,전기제품,G453520,8589000,16269500,21275500,8993500,17500000,27000000,10000000,19000000,30000000,12559000,21843500,31596000,11156000,19504500,29825500,12318000,22334500,33404000,159,164,191,361,371,396,404,423,434,445,446,463,491,544,590,560,557,576,-,-,-,1.76066E+11,1.85347E+11,2.08654E+11,2.28409E+11,2.60966E+11,2.82192E+11,2.82774E+11,3.15618E+11,3.38214E+11,3.34173E+11,3.33959E+11,3.63067E+11,4.33039E+11,4.29486E+11,4.70274E+11,-,-,-,1.16905E+11,1.03737E+11,1.25689E+11,1.28152E+11,1.53931E+11,1.67448E+11,1.55511E+11,1.80283E+11,1.97109E+11,1.94983E+11,1.9694E+11,2.28282E+11,2.99279E+11,2.95169E+11,2.57462E+11,-,-,-,59161503865,81609732349,82964532963,1.00257E+11,1.07035E+11,1.14744E+11,1.27263E+11,1.35335E+11,1.41105E+11,1.3919E+11,1.37019E+11,1.34785E+11,1.3376E+11,1.34317E+11,2.12811E+11,-,-,-,48856869893,58155241864,70340487145,68238454170,1.00277E+11,1.15763E+11,1.22293E+11,1.34301E+11,1.30004E+11,87719971518,69197638051,71388815530,1.02045E+11,69058638912,84245947166,-,-,-,-1768776801,2013732639,1369782848,4026932223,4543641750,7682084480,5852711260,6738890195,5916846722,-1903922490,-2119036725,-2000188728,2758537713,597881918,-3508898683,168390495196,202669010822,265476272977,330981611163,416201278724,466217399194,109301281483,115317942877,142171412625,187992116545,284380746162,268611553374,59089213713,87351067945,123304860352,142989494618,131820532562,197605845820,235128640553,249732039131,403019915789,505664305453,313264234672,356105956054,-4999321393,5224613001,20639184241,19883670519,-8809230051,-15018130143,6795,5951,7036,9641,7342,9085,17476,13258,14880,20674,33144,37594,36807,46820,40422,30548,26840,25866,20210,19005,16595,30039,39721,70017
카카오게임즈,A293490,1137383,KR7293490009,디지털컨텐츠,154,게임엔터테인먼트,G502040,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19500000,34500000,49500000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,365,363,369,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.16754E+12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.44005E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.23533E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.50535E+11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26955314381,-,-,-,-,-,1309911592717,-,-,-,-,-,284532324065,-,-,-,-,-,1025379268652,-,-,-,-,-,495521347080,-,-,-,-,-,67510885873,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,55400,46350
위메이드,A112040,444329,KR7112040001,디지털컨텐츠,154,게임엔터테인먼트,G502040,10750000,21000000,34500000,11000000,25000000,37.75,13500000,13250000,35500000,10666666.67,23000000,34000000,13500000,26000000,40500000,14500000,16250000,28500000,1066,871,499,335,163,99,82,80,50,54,56,59,58,58,59,55,102,120,-,-,-,4.52768E+11,4.39649E+11,4.23683E+11,4.2905E+11,4.25909E+11,4.37229E+11,4.76989E+11,4.35025E+11,4.24313E+11,3.40342E+11,3.21094E+11,3.17608E+11,3.07895E+11,3.09384E+11,3.08295E+11,-,-,-,63662618920,61226518058,66786776638,79651891092,86562670045,94688416673,1.37943E+11,93274143187,99579164701,81843611345,63177892588,59666625243,71784661579,71870991696,74501307386,-,-,-,3.89105E+11,3.78422E+11,3.56896E+11,3.49398E+11,3.39347E+11,3.42541E+11,3.39046E+11,3.41751E+11,3.24734E+11,2.58499E+11,2.57916E+11,2.57941E+11,2.3611E+11,2.37513E+11,2.33794E+11,-,-,-,32001792512,25917137182,-,33846192789,22189663556,24388597516,35096049106,27772908493,31791172314,26686387052,33873227472,28946166901,30820310003,25077924329,23729357557,-,-,-,-29749785865,-12165483873,-22051493793,-2458443630,-86740912,3026251015,4460290570,1479229159,-7428772797,-7220405416,-110126259,-480367894,7900033657,-5222047338,-11515753485,493478634151,403341396825,453300811280,350825087723,296259242835,323370694038,78680161292,55157747142,111265620957,75243840838,61598029106,67350352265,414798472859,348183649683,342035190323,275581246885,234661213729,256020341773,-,107978511100,109568498519,127075870093,113648123517,126242137495,-123916028232,-73000608698,-885023302,-48528176488,-28698789113,-18361927120,17908,17781,24247,17175,16139,12629,10052,12275,14851,16670,16342,23591,26167,23591,15609,11467,25662,16872,15079,15458,10002,20257,18691,19170
셀트리온제약,A068760,541349,KR7068760008,제약,66,제약,G352020,11000000,21500000,21500000,11000000,21000000,29500000,12000000,24500000,31000000,12000000,23500000,35000000,12000000,24000000,34000000,15500000,25500000,36000000,383,381,381,425,608,497,510,510,588,690,669,665,613,605,638,685,776,808,-,-,-,4.70031E+11,4.77413E+11,4.84425E+11,5.00806E+11,5.07709E+11,5.13348E+11,4.91899E+11,4.953E+11,4.51043E+11,4.45918E+11,4.60663E+11,4.55475E+11,4.8694E+11,5.01374E+11,5.27832E+11,-,-,-,1.95898E+11,1.76674E+11,1.82114E+11,1.57698E+11,1.63531E+11,1.68407E+11,1.69015E+11,1.75734E+11,1.82066E+11,1.75452E+11,1.87893E+11,1.80321E+11,2.05621E+11,2.15745E+11,2.38279E+11,-,-,-,2.74133E+11,3.00739E+11,3.02311E+11,3.43109E+11,3.44178E+11,3.44942E+11,3.22884E+11,3.19566E+11,2.68977E+11,2.70466E+11,2.7277E+11,2.75154E+11,2.8132E+11,2.85629E+11,2.89553E+11,-,-,-,17955591680,25907505372,22123534653,22164656831,33846527195,34493162544,27320066456,34298534927,34737748317,38589446896,42621269467,47435556126,44389290759,46393015625,65491837462,-,-,-,1405823017,151189871,1234840519,-1574888830,1066344084,705914830,-747804285,-3776832336,-3804277066,284312488,1995354475,2049642891,2227241984,3893722798,4010338451,466771900807,510022345007,519619474476,452444114844,470980395573,548074597598,230537478606,165374761628,176645641783,182409436191,190949017962,247513800382,236234422201,344647583379,342973832693,270034678653,280031377611,300560797216,74732429050,104811184059,135860255627,146880153915,173512796760,233568477708,6733913573,2915525644,-2876820288,-9388770745,8602167882,20939675880,15436,13739,10813,13825,14458,20531,21841,20531,19236,19878,17496,56887,78751,84450,74267,55863,51660,45120,33490,34190,66776,128454,111392,224353
SK머티리얼즈,A036490,110051,KR7036490001,반도체,159,디스플레이장비 및 부품,G454020,10000000,18500000,29500000,11000000,21000000,32000000,15500000,21000000,32500000,22,34500000,45000000,34000000,48000000,59500000,39000000,50500000,63000000,409,441,451,486,502,517,541,633,640,653,639,667,713,716,742,751,767,787,-,-,-,6.93844E+11,8.22722E+11,8.31378E+11,9.04055E+11,9.79994E+11,1.06392E+12,1.23255E+12,1.31794E+12,1.33725E+12,1.44802E+12,1.49167E+12,1.51682E+12,1.87044E+12,1.85969E+12,1.95924E+12,-,-,-,3.2011E+11,4.46064E+11,4.2798E+11,5.77298E+11,6.24559E+11,6.78519E+11,8.00225E+11,9.15859E+11,9.68337E+11,1.0391E+12,1.04325E+12,1.0283E+12,1.34914E+12,1.30045E+12,1.49048E+12,-,-,-,3.73735E+11,3.76658E+11,4.03398E+11,3.26757E+11,3.55435E+11,3.85405E+11,4.3232E+11,4.02078E+11,3.6891E+11,4.08925E+11,4.48418E+11,4.88521E+11,5.21303E+11,5.59241E+11,4.68752E+11,-,-,-,97337587647,1.16508E+11,1.23695E+11,1.16369E+11,1.2423E+11,1.31496E+11,1.42296E+11,1.57512E+11,1.85984E+11,1.84256E+11,1.82974E+11,2.01965E+11,2.12336E+11,2.27452E+11,2.46695E+11,-,-,-,24505110045,26738390602,-,21835135966,26355754718,28061885983,22840261266,26169718205,38549886620,35637305442,39512557064,39562717098,37639890153,39081364823,37479833150,665121655802,903109895045,1118007375949,1398430529239,1615834120096,2038632155829,288765359839,465970614296,709870114418,995127339400,1095527835650,1533941979827,376356295963,437139280749,408137261531,403303189839,520306284446,504690176002,338019707321,461443515086,512294419626,687252387797,772194040270,954980712566,66150544650,110452762497,104063434649,123440138280,143301751902,152046941782,96700,127100,90300,109900,112000,119000,156400,173500,163900,197200,177000,178700,147900,180100,182400,150100,172800,156500,166500,182300,135200,208800,225300,311000
에이치엘비,A028300,199252,KR7028300002,운송장비·부품,75,조선,G201065,10982250,21674500,30315000,10015500,20407250,30574000,11088750,19687750,32973750,9529000,18565000,26936250,12047750,25261250,34862750,11564750,23490000,35321500,81,84,92,99,97,97,96,104,97,59,0,54,63,63,74,72,86,87,-,-,-,1.90474E+11,1.8785E+11,1.94052E+11,1.8319E+11,1.79987E+11,2.01411E+11,2.31679E+11,2.79347E+11,2.67424E+11,3.19213E+11,2.97419E+11,3.30153E+11,3.56773E+11,6.94005E+11,6.57397E+11,-,-,-,61471342797,62159805580,60668643106,62210387086,64056504502,85453688008,89595009949,1.12418E+11,79826243582,1.07539E+11,1.33618E+11,1.4498E+11,1.59848E+11,1.40845E+11,1.434E+11,-,-,-,1.29003E+11,1.2569E+11,1.33383E+11,1.20979E+11,1.15931E+11,1.15957E+11,1.42084E+11,1.66929E+11,1.87598E+11,2.11675E+11,1.63801E+11,1.85173E+11,1.96925E+11,5.5316E+11,5.13997E+11,-,-,-,9208033162,8159983109,6543608793,5961174352,7084127860,4937194290,6096637465,11236555519,7371271977,7218071120,9528218586,9148191228,12023009291,9993642398,11384591850,-,-,-,-1442864365,-3250177074,-4175396306,-3734784065,-4868228258,-7539514321,24036559526,-10016964921,-9866914083,-13478943613,-74683367424,15537042984,-13638897096,-47833216964,-15439638201,185171918099,186707061029,188193254891,304040778357,362612148006,706477276989,70782178668,62633806253,74514456267,94517242572,173369982097,149047858403,114389739431,124073254776,113678798624,209523535785,189242165909,557429418586,38460683507,30138866814,23006912167,36185983416,38420748245,56177400696,10449937448,-23251533470,-21327893685,13520304124,-59660076049,-88716231805,6589,17173,10716,8275,7432,9363,8919,5834,5990,6456,9274,16707,31684,42823,54139,31507,35101,12869,26714,44287,38651,47410,50815,46810
씨젠,A096530,788773,KR7096530001,제약,66,생명과학 도구 및 서비스,G352030,13468875,26137625,37581875,13371250,26390250,39573375,13524875,26929500,38671250,12471000,27720000,39638250,13956500,28176125,46001000,21201750,60103125,82808250,194,199,205,221,219,222,280,283,290,311,327,302,313,315,312,320,395,476,-,-,-,1.96161E+11,2.0028E+11,1.99078E+11,2.0891E+11,2.13562E+11,1.85946E+11,1.73124E+11,1.7964E+11,1.62305E+11,1.63605E+11,1.82636E+11,1.82591E+11,2.65312E+11,5.00114E+11,8.00181E+11,-,-,-,59634835682,62178143715,61974667584,67977337000,71162161326,44894529705,31579402018,31733408073,27696332193,32354975469,41616833330,35607638139,81187791674,1.90302E+11,3.3861E+11,-,-,-,1.36526E+11,1.38102E+11,1.37103E+11,1.40933E+11,1.424E+11,1.41051E+11,1.41544E+11,1.47906E+11,1.34608E+11,1.3125E+11,1.41019E+11,1.46983E+11,1.84124E+11,3.09812E+11,4.61571E+11,-,-,-,17232361303,18521382657,17789321772,21001391396,22273224241,20300158791,24464293047,24606612016,21808757063,27479863480,29299435578,31398320963,81771622784,2.74831E+11,3.26875E+11,-,-,-,1230326885,2044259243,-503908054,-327097809,1452247709,2803222332,2456401038,2045410089,911478305,4959556330,10187684846,5896405501,33676710269,1.31636E+11,1.52498E+11,194047539553,207618171163,179723663279,163806003917,195715540240,1094574623631,58744276352,65388144420,39493222802,35449567140,42889887717,448168695845,135303263201,142230026743,140230440477,128356436777,152825652523,646405927786,65136597357,73693589458,87662544746,102264773396,121953286875,1125215548220,6778307142,7161246626,4050660162,10711351009,26709827741,503147148841,19072,20102,21007,17966,17338,16861,18519,16936,16534,18871,13845,15906,17514,13946,12438,8845,11006,13544,10428,14071,58347,57493,135390,107297
