종목,심볼번호,고유번호,업종,업종코드,WICS,WICS코드,time,avg_salary,employee_num,자산총계,부채총계,자본총계,매출액,당기순이익,시가,
셀트리온헬스케어,A091990,554024,도매,84,제약,G352020,2015_1,-,-,-,-,-,-,-,-,
셀트리온헬스케어,A091990,554024,도매,84,제약,G352020,2015_2,-,-,-,-,-,-,-,-,
셀트리온헬스케어,A091990,554024,도매,84,제약,G352020,2015_3,-,-,-,-,-,-,-,-,
셀트리온헬스케어,A091990,554024,도매,84,제약,G352020,2015_4,-,-,-,-,-,-,-,-,
셀트리온헬스케어,A091990,554024,도매,84,제약,G352020,2016_1,-,-,-,-,-,-,-,-,
셀트리온헬스케어,A091990,554024,도매,84,제약,G352020,2016_2,-,-,-,-,-,-,-,-,
셀트리온헬스케어,A091990,554024,도매,84,제약,G352020,2016_3,-,-,-,-,-,-,-,-,
셀트리온헬스케어,A091990,554024,도매,84,제약,G352020,2016_4,-,-,-,-,-,-,-,-,
셀트리온헬스케어,A091990,554024,도매,84,제약,G352020,2017_1,13671201,115,-,-,-,-,-,-,
셀트리온헬스케어,A091990,554024,도매,84,제약,G352020,2017_2,25375000,115,1909590000000 ,1182820000000 ,726765000000 ,237501000000 ,77543917833 ,-,
셀트리온헬스케어,A091990,554024,도매,84,제약,G352020,2017_3,36375000,126,2920090000000 ,1156400000000 ,1763690000000 ,198049000000 ,30714274484 ,51000,
셀트리온헬스케어,A091990,554024,도매,84,제약,G352020,2017_4,-,-,2874945687952 ,1167472385806 ,1707473302146 ,920921743248 ,157438653868 ,82753,
셀트리온헬스케어,A091990,554024,도매,84,제약,G352020,2018_1,54375000,133,2886230000000 ,1111700000000 ,1774530000000 ,128366000000 ,60505014233 ,97649,
셀트리온헬스케어,A091990,554024,도매,84,제약,G352020,2018_2,128750000,132,2881790000000 ,1092810000000 ,1788980000000 ,183753000000 ,10981699330 ,102051,
셀트리온헬스케어,A091990,554024,도매,84,제약,G352020,2018_3,134750000,146,2983280000000 ,1196220000000 ,1787060000000 ,212671000000 ,6382502867 ,84171,
셀트리온헬스케어,A091990,554024,도매,84,제약,G352020,2018_4,-,-,2948569159215 ,1313090664811 ,1635478494404 ,713487407415 ,11386139801 ,64824,
셀트리온헬스케어,A091990,554024,도매,84,제약,G352020,2019_1,18000000,132,2867890000000 ,1247490000000 ,1620400000000 ,220513000000 ,5840457240 ,61675,
셀트리온헬스케어,A091990,554024,도매,84,제약,G352020,2019_2,97625000,122,2938650000000 ,1309340000000 ,1629310000000 ,284767000000 ,8477851668 ,53358,
셀트리온헬스케어,A091990,554024,도매,84,제약,G352020,2019_3,113875000,123,2913060000000 ,1282590000000 ,1630460000000 ,282036000000 ,10141683257 ,47937,
셀트리온헬스케어,A091990,554024,도매,84,제약,G352020,2019_4,-,-,2848904874116 ,1183011066877 ,1665893807239 ,1100877966455 ,64961999795 ,44947,
셀트리온헬스케어,A091990,554024,도매,84,제약,G352020,2020_1,30000000,124,3116510000000 ,1373850000000 ,1742650000000 ,356902000000 ,76192957052 ,68942,
셀트리온헬스케어,A091990,554024,도매,84,제약,G352020,2020_2,89375000,126,3328260000000 ,1539420000000 ,1788840000000 ,420284000000 ,46425554323 ,109738,
셀트리온헬스케어,A091990,554024,도매,84,제약,G352020,2020_3,128250000,133,3595020000000 ,1719110000000 ,1875910000000 ,463416000000 ,86095578965 ,86104,
셀트리온헬스케어,A091990,554024,도매,84,제약,G352020,2020_4,-,-,3739698458262 ,1806768713483 ,1932929744779 ,1627596815280 ,240406565499 ,152104,
에코프로비엠,A247540,1160363,일반전기전자,72,전기제품,G453520,2015_1,-,-,-,-,-,-,-,-,
에코프로비엠,A247540,1160363,일반전기전자,72,전기제품,G453520,2015_2,-,-,-,-,-,-,-,-,
에코프로비엠,A247540,1160363,일반전기전자,72,전기제품,G453520,2015_3,-,-,-,-,-,-,-,-,
에코프로비엠,A247540,1160363,일반전기전자,72,전기제품,G453520,2015_4,-,-,-,-,-,-,-,-,
에코프로비엠,A247540,1160363,일반전기전자,72,전기제품,G453520,2016_1,-,-,-,-,-,-,-,-,
에코프로비엠,A247540,1160363,일반전기전자,72,전기제품,G453520,2016_2,-,-,-,-,-,-,-,-,
에코프로비엠,A247540,1160363,일반전기전자,72,전기제품,G453520,2016_3,-,-,-,-,-,-,-,-,
에코프로비엠,A247540,1160363,일반전기전자,72,전기제품,G453520,2016_4,-,-,-,-,-,-,-,-,
에코프로비엠,A247540,1160363,일반전기전자,72,전기제품,G453520,2017_1,-,-,-,-,-,-,-,-,
에코프로비엠,A247540,1160363,일반전기전자,72,전기제품,G453520,2017_2,-,-,-,-,-,-,-,-,
에코프로비엠,A247540,1160363,일반전기전자,72,전기제품,G453520,2017_3,-,-,-,-,-,-,-,-,
에코프로비엠,A247540,1160363,일반전기전자,72,전기제품,G453520,2017_4,-,-,-,-,-,-,-,-,
에코프로비엠,A247540,1160363,일반전기전자,72,전기제품,G453520,2018_1,-,-,-,-,-,-,-,-,
에코프로비엠,A247540,1160363,일반전기전자,72,전기제품,G453520,2018_2,-,-,-,-,-,-,-,-,
에코프로비엠,A247540,1160363,일반전기전자,72,전기제품,G453520,2018_3,-,-,-,-,-,-,-,-,
에코프로비엠,A247540,1160363,일반전기전자,72,전기제품,G453520,2018_4,-,-,-,-,-,-,-,-,
에코프로비엠,A247540,1160363,일반전기전자,72,전기제품,G453520,2019_1,3888750,828,-,-,-,-,-,60100,
에코프로비엠,A247540,1160363,일반전기전자,72,전기제품,G453520,2019_2,6042500,826,-,-,-,-,-,60000,
에코프로비엠,A247540,1160363,일반전기전자,72,전기제품,G453520,2019_3,5076750,855,-,-,-,-,-,48750,
에코프로비엠,A247540,1160363,일반전기전자,72,전기제품,G453520,2019_4,-,-,-,-,-,-,-,49300,
에코프로비엠,A247540,1160363,일반전기전자,72,전기제품,G453520,2020_1,10954000,866,653124000000 ,277507000000 ,375618000000 ,167680000000 ,8409125418 ,63000,
에코프로비엠,A247540,1160363,일반전기전자,72,전기제품,G453520,2020_2,3694000,871,706845000000 ,308408000000 ,398438000000 ,189943000000 ,13991023309 ,124600,
에코프로비엠,A247540,1160363,일반전기전자,72,전기제품,G453520,2020_3,5550000,915,742198000000 ,301834000000 ,440365000000 ,250204000000 ,13651433168 ,136000,
에코프로비엠,A247540,1160363,일반전기전자,72,전기제품,G453520,2020_4,-,-,798986124781 ,331668500645 ,467317624136 ,854748843876 ,46658311822 ,159900,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2015_1,-,-,-,-,-,-,-,-,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2015_2,-,-,-,-,-,-,-,-,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2015_3,-,-,-,-,-,-,-,-,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2015_4,-,-,-,-,-,-,-,-,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2016_1,-,-,-,-,-,-,-,-,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2016_2,-,-,-,-,-,-,-,-,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2016_3,-,-,-,-,-,-,-,-,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2016_4,-,-,-,-,-,-,-,-,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2017_1,-,-,-,-,-,-,-,-,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2017_2,-,-,-,-,-,-,-,-,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2017_3,13250000,288,-,-,-,-,-,22880,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2017_4,-,-,296580573490 ,21383261543 ,275197311947 ,-,14730523696 ,40200,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2018_1,16382500,404,322607000000 ,37414715603 ,285193000000 ,-,27833316635 ,46640,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2018_2,35444750,469,392105000000 ,49108952770 ,342996000000 ,-,52160553956 ,45380,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2018_3,44037.5,518,466576000000 ,71143916076 ,395432000000 ,-,51710520053 ,42520,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2018_4,-,-,712530156692 ,304504407755 ,408025748937 ,-,146446177343 ,35800,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2019_1,34445500,662,788742000000 ,355151000000 ,433591000000 ,-,14147362257 ,33680,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2019_2,46411500,714,825827000000 ,332839000000 ,492988000000 ,-,51571951761 ,42460,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2019_3,55260250,777,899334000000 ,354363000000 ,544971000000 ,-,43835339595 ,39780,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2019_4,-,-,867391014845 ,278374337593 ,589016677252 ,-,157651213701 ,37940,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2020_1,17689500,832,946583000000 ,294179000000 ,652404000000 ,-,48332557501 ,34780,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2020_2,36602500,777,991317000000 ,319362000000 ,671955000000 ,-,23626990163 ,41180,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2020_3,55256250,761,996861000000 ,302576000000 ,694285000000 ,-,27770698644 ,40220,
펄어비스,A263750,1152470,디지털컨텐츠,154,게임엔터테인먼트,G502040,2020_4,-,-,897191642084 ,260280600086 ,636911041998 ,-,100853964155 ,53480,
엘앤에프,A066970,398701,IT부품,160,전기제품,G453520,2015_1,8589000,159,-,-,-,-,-,6795,
엘앤에프,A066970,398701,IT부품,160,전기제품,G453520,2015_2,16269500,164,-,-,-,-,-,5951,
엘앤에프,A066970,398701,IT부품,160,전기제품,G453520,2015_3,21275500,191,-,-,-,-,-,7036,
엘앤에프,A066970,398701,IT부품,160,전기제품,G453520,2015_4,-,-,168390495196 ,109301281483 ,59089213713 ,235128640553 ,(4999321393),9641,
엘앤에프,A066970,398701,IT부품,160,전기제품,G453520,2016_1,8993500,361,176066000000 ,116905000000 ,59161503865 ,48856869893 ,(1768776801),7342,
엘앤에프,A066970,398701,IT부품,160,전기제품,G453520,2016_2,17500000,371,185347000000 ,103737000000 ,81609732349 ,58155241864 ,2013732639 ,9085,
엘앤에프,A066970,398701,IT부품,160,전기제품,G453520,2016_3,27000000,396,208654000000 ,125689000000 ,82964532963 ,70340487145 ,1369782848 ,17476,
엘앤에프,A066970,398701,IT부품,160,전기제품,G453520,2016_4,-,-,202669010822 ,115317942877 ,87351067945 ,249732039131 ,5224613001 ,13258,
