종목,심볼번호,고유번호,업종,업종코드,WICS,WICS코드,time,avg_salary,employee_num,asset,debt,equlity,take,income,stock_price
삼성전자,A005930,126380,"전기,전자",13,반도체와 반도체 장비,G453010,2015_1,20500000,99927,-,-,-,-,-,28979
삼성전자,A005930,126380,"전기,전자",13,반도체와 반도체 장비,G453010,2015_2,37000000,98999,-,-,-,-,-,25520
삼성전자,A005930,126380,"전기,전자",13,반도체와 반도체 장비,G453010,2015_3,53500000,98557,-,-,-,-,-,22000
삼성전자,A005930,126380,"전기,전자",13,반도체와 반도체 장비,G453010,2015_4,-,-,2.4218E+14,6.31197E+13,1.7906E+14,2.00653E+14,1.90601E+13,26020
삼성전자,A005930,126380,"전기,전자",13,반도체와 반도체 장비,G453010,2016_1,20500000,97149,2.4124E+14,6.29136E+13,1.78326E+14,4.97823E+13,5.2528E+12,26120
삼성전자,A005930,126380,"전기,전자",13,반도체와 반도체 장비,G453010,2016_2,38500000,95420,2.43961E+14,6.21182E+13,1.81843E+14,5.09371E+13,5.84739E+12,28160
삼성전자,A005930,126380,"전기,전자",13,반도체와 반도체 장비,G453010,2016_3,56000000,95374,2.44471E+14,6.49351E+13,1.79536E+14,4.78156E+13,4.53786E+12,31800
삼성전자,A005930,126380,"전기,전자",13,반도체와 반도체 장비,G453010,2016_4,-,-,2.62174E+14,6.92113E+13,1.92963E+14,2.01867E+14,2.27261E+13,35620
삼성전자,A005930,126380,"전기,전자",13,반도체와 반도체 장비,G453010,2017_1,19000000,94283,2.64217E+14,7.43994E+13,1.89818E+14,5.05475E+13,7.68435E+12,41820
삼성전자,A005930,126380,"전기,전자",13,반도체와 반도체 장비,G453010,2017_2,40500000,98541,2.77589E+14,7.68837E+13,2.00706E+14,6.10005E+13,1.10539E+13,47500
삼성전자,A005930,126380,"전기,전자",13,반도체와 반도체 장비,G453010,2017_3,58500000,99836,2.96579E+14,8.58873E+13,2.10691E+14,6.20489E+13,1.11934E+13,53360
삼성전자,A005930,126380,"전기,전자",13,반도체와 반도체 장비,G453010,2017_4,-,-,3.01752E+14,8.72607E+13,2.14491E+14,2.39575E+14,4.21867E+13,50620
삼성전자,A005930,126380,"전기,전자",13,반도체와 반도체 장비,G453010,2018_1,21000000,101951,3.12473E+14,8.92132E+13,2.2326E+14,6.05637E+13,1.16885E+13,49000
삼성전자,A005930,126380,"전기,전자",13,반도체와 반도체 장비,G453010,2018_2,39500000,101953,3.18688E+14,8.55635E+13,2.33125E+14,5.84827E+13,1.10434E+13,46500
삼성전자,A005930,126380,"전기,전자",13,반도체와 반도체 장비,G453010,2018_3,58000000,103023,3.37196E+14,9.50926E+13,2.42103E+14,6.546E+13,1.31507E+13,46450
삼성전자,A005930,126380,"전기,전자",13,반도체와 반도체 장비,G453010,2018_4,-,-,3.39357E+14,9.16041E+13,2.47753E+14,2.43771E+14,4.43449E+13,38650
삼성전자,A005930,126380,"전기,전자",13,반도체와 반도체 장비,G453010,2019_1,22500000,104355,3.45068E+14,9.18527E+13,2.53215E+14,5.23855E+13,5.04359E+12,45200
삼성전자,A005930,126380,"전기,전자",13,반도체와 반도체 장비,G453010,2019_2,42000000,105044,3.4294E+14,8.51931E+13,2.57747E+14,5.61271E+13,5.18058E+12,47350
삼성전자,A005930,126380,"전기,전자",13,반도체와 반도체 장비,G453010,2019_3,62000000,105747,3.53386E+14,8.99437E+13,2.63442E+14,6.20035E+13,6.28766E+12,48050
삼성전자,A005930,126380,"전기,전자",13,반도체와 반도체 장비,G453010,2019_4,-,-,3.52564E+14,8.96841E+13,2.6288E+14,2.30401E+14,2.17389E+13,55800
삼성전자,A005930,126380,"전기,전자",13,반도체와 반도체 장비,G453010,2020_1,21000000,106877,3.57458E+14,9.10698E+13,2.66388E+14,5.53252E+13,4.88493E+12,48000
삼성전자,A005930,126380,"전기,전자",13,반도체와 반도체 장비,G453010,2020_2,40000000,106652,3.57959E+14,8.81517E+13,2.69808E+14,5.29661E+13,5.55508E+12,53900
삼성전자,A005930,126380,"전기,전자",13,반도체와 반도체 장비,G453010,2020_3,66500000,108998,3.75789E+14,9.96526E+13,2.76136E+14,6.69642E+13,9.36069E+12,57500
삼성전자,A005930,126380,"전기,전자",13,반도체와 반도체 장비,G453010,2020_4,-,-,3.78236E+14,1.02288E+14,2.75948E+14,2.36807E+14,2.64078E+13,73400
SK하이닉스,A000660,164779,"전기,전자",13,반도체와 반도체 장비,G453010,2015_1,37963500,21707,-,-,-,-,-,46300
SK하이닉스,A000660,164779,"전기,전자",13,반도체와 반도체 장비,G453010,2015_2,54488000,22131,-,-,-,-,-,42650
SK하이닉스,A000660,164779,"전기,전자",13,반도체와 반도체 장비,G453010,2015_3,72679000,21506,-,-,-,-,-,33700
SK하이닉스,A000660,164779,"전기,전자",13,반도체와 반도체 장비,G453010,2015_4,-,-,2.96779E+13,8.2902E+12,2.13877E+13,1.8798E+13,4.3236E+12,30250
SK하이닉스,A000660,164779,"전기,전자",13,반도체와 반도체 장비,G453010,2016_1,39050000,21622,2.97977E+13,8.33297E+12,2.14647E+13,3.65572E+12,4.48026E+11,28700
SK하이닉스,A000660,164779,"전기,전자",13,반도체와 반도체 장비,G453010,2016_2,53761000,22184,2.93295E+13,7.62863E+12,2.17008E+13,3.94093E+12,2.86132E+11,32000
SK하이닉스,A000660,164779,"전기,전자",13,반도체와 반도체 장비,G453010,2016_3,74019000,22157,2.9167E+13,7.16242E+12,2.20046E+13,4.24365E+12,5.97751E+11,39750
SK하이닉스,A000660,164779,"전기,전자",13,반도체와 반도체 장비,G453010,2016_4,-,-,3.2216E+13,8.1925E+12,2.40235E+13,1.7198E+13,2.96048E+12,46250
SK하이닉스,A000660,164779,"전기,전자",13,반도체와 반도체 장비,G453010,2017_1,25083000,22624,3.43195E+13,9.15058E+12,2.51689E+13,6.28952E+12,1.89868E+12,50800
SK하이닉스,A000660,164779,"전기,전자",13,반도체와 반도체 장비,G453010,2017_2,41429000,22575,3.75016E+13,9.73779E+12,2.77638E+13,6.69228E+12,2.46851E+12,67400
SK하이닉스,A000660,164779,"전기,전자",13,반도체와 반도체 장비,G453010,2017_3,62098500,23278,4.07305E+13,9.82596E+12,3.09045E+13,8.10009E+12,3.05553E+12,86300
SK하이닉스,A000660,164779,"전기,전자",13,반도체와 반도체 장비,G453010,2017_4,-,-,4.54185E+13,1.15975E+13,3.38209E+13,3.01094E+13,1.06422E+13,76200
SK하이닉스,A000660,164779,"전기,전자",13,반도체와 반도체 장비,G453010,2018_1,48983000,24725,4.91251E+13,1.27466E+13,3.63785E+13,8.71969E+12,3.12133E+12,81700
SK하이닉스,A000660,164779,"전기,전자",13,반도체와 반도체 장비,G453010,2018_2,65668500,25161,5.32571E+13,1.24794E+13,4.07777E+13,1.03705E+13,4.32854E+12,85000
SK하이닉스,A000660,164779,"전기,전자",13,반도체와 반도체 장비,G453010,2018_3,82814000,25889,5.73773E+13,1.38884E+13,4.34888E+13,1.14168E+13,4.69219E+12,74300
SK하이닉스,A000660,164779,"전기,전자",13,반도체와 반도체 장비,G453010,2018_4,-,-,6.36583E+13,1.6806E+13,4.68523E+13,4.04451E+13,1.554E+13,61600
SK하이닉스,A000660,164779,"전기,전자",13,반도체와 반도체 장비,G453010,2019_1,54753500,27768,6.51315E+13,1.79655E+13,4.7166E+13,6.77266E+12,1.10213E+12,75600
SK하이닉스,A000660,164779,"전기,전자",13,반도체와 반도체 장비,G453010,2019_2,71704500,27768,6.30323E+13,1.53215E+13,4.77108E+13,6.4522E+12,5.37025E+11,71000
SK하이닉스,A000660,164779,"전기,전자",13,반도체와 반도체 장비,G453010,2019_3,92096000,28237,6.36718E+13,1.54055E+13,4.82662E+13,6.83877E+12,4.95484E+11,80600
SK하이닉스,A000660,164779,"전기,전자",13,반도체와 반도체 장비,G453010,2019_4,-,-,6.47895E+13,1.68463E+13,4.79432E+13,2.69907E+13,2.01639E+12,91000
SK하이닉스,A000660,164779,"전기,전자",13,반도체와 반도체 장비,G453010,2020_1,28975500,28670,6.71428E+13,1.88951E+13,4.82477E+13,7.19889E+12,6.4905E+11,84000
SK하이닉스,A000660,164779,"전기,전자",13,반도체와 반도체 장비,G453010,2020_2,46499500,28609,6.92593E+13,1.98564E+13,4.94029E+13,8.60653E+12,1.26426E+12,86200
SK하이닉스,A000660,164779,"전기,전자",13,반도체와 반도체 장비,G453010,2020_3,66398000,28894,6.92672E+13,1.87681E+13,5.04991E+13,8.12877E+12,1.07786E+12,83000
SK하이닉스,A000660,164779,"전기,전자",13,반도체와 반도체 장비,G453010,2020_4,-,-,7.11739E+13,1.92648E+13,5.19091E+13,3.19004E+13,4.75891E+12,118500
NAVER,A035420,266961,서비스업,26,양방향미디어와서비스,G502050,2015_1,29859000,2348,-,-,-,-,-,138194
NAVER,A035420,266961,서비스업,26,양방향미디어와서비스,G502050,2015_2,45873500,2204,-,-,-,-,-,128982
NAVER,A035420,266961,서비스업,26,양방향미디어와서비스,G502050,2015_3,65104500,2219,-,-,-,-,-,103144
NAVER,A035420,266961,서비스업,26,양방향미디어와서비스,G502050,2015_4,-,-,4.38591E+12,2.11633E+12,2.26958E+12,3.25116E+12,5.16986E+11,130983
NAVER,A035420,266961,서비스업,26,양방향미디어와서비스,G502050,2016_1,32996500,2346,4.52518E+12,2.13658E+12,2.3886E+12,9.3728E+11,1.65036E+11,129181
NAVER,A035420,266961,서비스업,26,양방향미디어와서비스,G502050,2016_2,45256500,2479,4.92746E+12,2.29334E+12,2.63411E+12,9.87281E+11,2.13224E+11,142200
NAVER,A035420,266961,서비스업,26,양방향미디어와서비스,G502050,2016_3,65075500,2568,5.99526E+12,1.76763E+12,4.22763E+12,1.01308E+12,1.98E+11,177449
NAVER,A035420,266961,서비스업,26,양방향미디어와서비스,G502050,2016_4,-,-,6.37064E+12,2.24104E+12,4.1296E+12,4.02263E+12,7.59073E+11,160427
NAVER,A035420,266961,서비스업,26,양방향미디어와서비스,G502050,2017_1,40554500,2678,6.44145E+12,2.17153E+12,4.26992E+12,1.08225E+12,2.10876E+11,172442
NAVER,A035420,266961,서비스업,26,양방향미디어와서비스,G502050,2017_2,57676000,2532,7.20151E+12,2.2536E+12,4.94791E+12,1.12963E+12,1.7142E+11,169240
NAVER,A035420,266961,서비스업,26,양방향미디어와서비스,G502050,2017_3,75733000,2655,7.62018E+12,2.47636E+12,5.14382E+12,1.20068E+12,2.15798E+11,149611
NAVER,A035420,266961,서비스업,26,양방향미디어와서비스,G502050,2017_4,-,-,8.01925E+12,2.71407E+12,5.30519E+12,4.67847E+12,7.70102E+11,169039
NAVER,A035420,266961,서비스업,26,양방향미디어와서비스,G502050,2018_1,35219500,3050,8.36739E+12,2.98953E+12,5.37786E+12,1.30906E+12,1.53752E+11,156822
NAVER,A035420,266961,서비스업,26,양방향미디어와서비스,G502050,2018_2,53396000,3408,8.5288E+12,2.84541E+12,5.68338E+12,1.36362E+12,2.81759E+11,153217
NAVER,A035420,266961,서비스업,26,양방향미디어와서비스,G502050,2018_3,71645000,3489,9.91424E+12,4.03827E+12,5.87598E+12,1.39771E+12,68386763908,143801
NAVER,A035420,266961,서비스업,26,양방향미디어와서비스,G502050,2018_4,-,-,9.88119E+12,3.93205E+12,5.94914E+12,5.5869E+12,6.27902E+11,124000
NAVER,A035420,266961,서비스업,26,양방향미디어와서비스,G502050,2019_1,35218000,3593,1.08961E+13,4.84764E+12,6.0485E+12,1.51086E+12,87585903290,124000
NAVER,A035420,266961,서비스업,26,양방향미디어와서비스,G502050,2019_2,55170000,3570,1.14366E+13,5.167E+12,6.26957E+12,1.63028E+12,27756852975,114500
NAVER,A035420,266961,서비스업,26,양방향미디어와서비스,G502050,2019_3,75216500,3580,1.18067E+13,5.3692E+12,6.43752E+12,1.66482E+12,85268053088,155000
NAVER,A035420,266961,서비스업,26,양방향미디어와서비스,G502050,2019_4,-,-,1.22995E+13,5.7956E+12,6.50393E+12,6.5934E+12,3.96821E+11,180000
NAVER,A035420,266961,서비스업,26,양방향미디어와서비스,G502050,2020_1,39785500,3612,1.3766E+13,6.3108E+12,7.45524E+12,1.73206E+12,1.34875E+11,163500
NAVER,A035420,266961,서비스업,26,양방향미디어와서비스,G502050,2020_2,60014000,3745,1.46754E+13,6.71759E+12,7.95785E+12,1.90247E+12,90682203810,268000
NAVER,A035420,266961,서비스업,26,양방향미디어와서비스,G502050,2020_3,79797000,3857,1.54526E+13,8.04082E+12,7.41174E+12,1.36078E+12,2.35343E+11,297500
NAVER,A035420,266961,서비스업,26,양방향미디어와서비스,G502050,2020_4,-,-,1.70142E+13,8.75911E+12,8.25513E+12,5.30415E+12,8.44997E+11,286000
삼성바이오로직스,A207940,877059,의약품,9,제약,G352020,2015_1,-,-,-,-,-,-,-,-
삼성바이오로직스,A207940,877059,의약품,9,제약,G352020,2015_2,-,-,-,-,-,-,-,-
삼성바이오로직스,A207940,877059,의약품,9,제약,G352020,2015_3,-,-,-,-,-,-,-,-
삼성바이오로직스,A207940,877059,의약품,9,제약,G352020,2015_4,-,-,-,-,-,-,-,-
삼성바이오로직스,A207940,877059,의약품,9,제약,G352020,2016_1,-,-,-,-,-,-,-,-
삼성바이오로직스,A207940,877059,의약품,9,제약,G352020,2016_2,-,-,-,-,-,-,-,-
삼성바이오로직스,A207940,877059,의약품,9,제약,G352020,2016_3,-,-,-,-,-,-,-,-
삼성바이오로직스,A207940,877059,의약품,9,제약,G352020,2016_4,-,-,-,-,-,-,-,144000
삼성바이오로직스,A207940,877059,의약품,9,제약,G352020,2017_1,13500000,1724,-,-,-,-,-,174500
삼성바이오로직스,A207940,877059,의약품,9,제약,G352020,2017_2,26500000,1735,-,-,-,-,-,295500
삼성바이오로직스,A207940,877059,의약품,9,제약,G352020,2017_3,44500000,2064,-,-,-,-,-,343000
삼성바이오로직스,A207940,877059,의약품,9,제약,G352020,2017_4,-,-,-,-,-,-,-,365500
삼성바이오로직스,A207940,877059,의약품,9,제약,G352020,2018_1,15500000,2089,-,-,-,-,-,487000
삼성바이오로직스,A207940,877059,의약품,9,제약,G352020,2018_2,30000000,2107,-,-,-,-,-,420500
삼성바이오로직스,A207940,877059,의약품,9,제약,G352020,2018_3,43000000,2191,-,-,-,-,-,536000
삼성바이오로직스,A207940,877059,의약품,9,제약,G352020,2018_4,-,-,-,-,-,-,-,388000
삼성바이오로직스,A207940,877059,의약품,9,제약,G352020,2019_1,16000000,2461,-,-,-,-,-,318500
삼성바이오로직스,A207940,877059,의약품,9,제약,G352020,2019_2,29500000,2488,-,-,-,-,-,320500
삼성바이오로직스,A207940,877059,의약품,9,제약,G352020,2019_3,50000000,2628,-,-,-,-,-,309500
삼성바이오로직스,A207940,877059,의약품,9,제약,G352020,2019_4,-,-,-,-,-,-,-,394000
삼성바이오로직스,A207940,877059,의약품,9,제약,G352020,2020_1,17000000,2688,5.94497E+12,1.55337E+12,4.3916E+12,2.07197E+11,36653025843,455000
삼성바이오로직스,A207940,877059,의약품,9,제약,G352020,2020_2,31000000,2717,6.03287E+12,1.58968E+12,4.4432E+12,3.07691E+11,52018676934,784000
삼성바이오로직스,A207940,877059,의약품,9,제약,G352020,2020_3,50000000,2884,6.1372E+12,1.63836E+12,4.49884E+12,2.74582E+11,56081371017,697000
삼성바이오로직스,A207940,877059,의약품,9,제약,G352020,2020_4,-,-,6.4242E+12,1.82542E+12,4.59878E+12,1.16478E+12,2.40975E+11,804000
카카오,A035720,258801,서비스업,26,양방향미디어와서비스,G502050,2015_1,48733822.5,2248,-,-,-,-,-,23483
카카오,A035720,258801,서비스업,26,양방향미디어와서비스,G502050,2015_2,83945415.5,2265,-,-,-,-,-,25691
카카오,A035720,258801,서비스업,26,양방향미디어와서비스,G502050,2015_3,105334256,2293,-,-,-,-,-,24748
카카오,A035720,258801,서비스업,26,양방향미디어와서비스,G502050,2015_4,-,-,3.18848E+12,6.03003E+11,2.58547E+12,9.32152E+11,78764757714,22780
