종목,심볼번호,고유번호,종목번호,업종,업종코드,WICS,WICS코드,2015_1_avg_salary,2015_2_avg_salary,2015_3_avg_salary,2016_1_avg_salary,2016_2_avg_salary,2016_3_avg_salary,2017_1_avg_salary,2017_2_avg_salary,2017_3_avg_salary,2018_1_avg_salary,2018_2_avg_salary,2018_3_avg_salary,2019_1_avg_salary,2019_2_avg_salary,2019_3_avg_salary,2020_1_avg_salary,2020_2_avg_salary,2020_3_avg_salary,2015_1_employee_num,2015_2_employee_num,2015_3_employee_num,2016_1_employee_num,2016_2_employee_num,2016_3_employee_num,2017_1_employee_num,2017_2_employee_num,2017_3_employee_num,2018_1_employee_num,2018_2_employee_num,2018_3_employee_num,2019_1_employee_num,2019_2_employee_num,2019_3_employee_num,2020_1_employee_num,2020_2_employee_num,2020_3_employee_num,2015_1_자산총계,2015_2_자산총계,2015_3_자산총계,2016_1_자산총계,2016_2_자산총계,2016_3_자산총계,2017_1_자산총계,2017_2_자산총계,2017_3_자산총계,2018_1_자산총계,2018_2_자산총계,2018_3_자산총계,2019_1_자산총계,2019_2_자산총계,2019_3_자산총계,2020_1_자산총계,2020_2_자산총계,2020_3_자산총계,2015_1_부채총계,2015_2_부채총계,2015_3_부채총계,2016_1_부채총계,2016_2_부채총계,2016_3_부채총계,2017_1_부채총계,2017_2_부채총계,2017_3_부채총계,2018_1_부채총계,2018_2_부채총계,2018_3_부채총계,2019_1_부채총계,2019_2_부채총계,2019_3_부채총계,2020_1_부채총계,2020_2_부채총계,2020_3_부채총계,2015_1_자본총계,2015_2_자본총계,2015_3_자본총계,2016_1_자본총계,2016_2_자본총계,2016_3_자본총계,2017_1_자본총계,2017_2_자본총계,2017_3_자본총계,2018_1_자본총계,2018_2_자본총계,2018_3_자본총계,2019_1_자본총계,2019_2_자본총계,2019_3_자본총계,2020_1_자본총계,2020_2_자본총계,2020_3_자본총계,2015_1_매출액,2015_2_매출액,2015_3_매출액,2016_1_매출액,2016_2_매출액,2016_3_매출액,2017_1_매출액,2017_2_매출액,2017_3_매출액,2018_1_매출액,2018_2_매출액,2018_3_매출액,2019_1_매출액,2019_2_매출액,2019_3_매출액,2020_1_매출액,2020_2_매출액,2020_3_매출액,2015_1_당기순이익,2015_2_당기순이익,2015_3_당기순이익,2016_1_당기순이익,2016_2_당기순이익,2016_3_당기순이익,2017_1_당기순이익,2017_2_당기순이익,2017_3_당기순이익,2018_1_당기순이익,2018_2_당기순이익,2018_3_당기순이익,2019_1_당기순이익,2019_2_당기순이익,2019_3_당기순이익,2020_1_당기순이익,2020_2_당기순이익,2020_3_당기순이익,2015_4_자산총계,2016_4_자산총계,2017_4_자산총계,2018_4_자산총계,2019_4_자산총계,2020_4_자산총계,2015_4_부채총계,2016_4_부채총계,2017_4_부채총계,2018_4_부채총계,2019_4_부채총계,2020_4_부채총계,2015_4_자본총계,2016_4_자본총계,2017_4_자본총계,2018_4_자본총계,2019_4_자본총계,2020_4_자본총계,2015_4_매출액,2016_4_매출액,2017_4_매출액,2018_4_매출액,2019_4_매출액,2020_4_매출액,2015_4_당기순이익,2016_4_당기순이익,2017_4_당기순이익,2018_4_당기순이익,2019_4_당기순이익,2020_4_당기순이익,2015_1_시가,2015_2_시가,2015_3_시가,2015_4_시가,2016_1_시가,2016_2_시가,2016_3_시가,2016_4_시가,2017_1_시가,2017_2_시가,2017_3_시가,2017_4_시가,2018_1_시가,2018_2_시가,2018_3_시가,2018_4_시가,2019_1_시가,2019_2_시가,2019_3_시가,2019_4_시가,2020_1_시가,2020_2_시가,2020_3_시가,2020_4_시가
삼성전자,A005930,126380,KR7005930003,"전기,전자",13,반도체와 반도체 장비,G453010,20500000,37000000,53500000,20500000,38500000,56000000,19000000,40500000,58500000,21000000,39500000,58000000,22500000,42000000,62000000,21000000,40000000,66500000,99927,98999,98557,97149,95420,95374,94283,98541,99836,101951,101953,103023,104355,105044,105747,106877,106652,108998,-,-,-,241239789000000,243960673000000,244471456000000,264217372000000,277589436000000,296578579000000,312473113000000,318688380000000,337195786000000,345067883000000,342940134000000,353385985000000,357457535000000,357959499000000,375788742000000,-,-,-,62913603000000,62118157000000,64935077000000,74399417000000,76883688000000,85887328000000,89213233000000,85563535000000,95092626000000,91852732000000,85193101000000,89943741000000,91069812000000,88151682000000,99652554000000,-,-,-,178326186000000,181842516000000,179536379000000,189817955000000,200705748000000,210691251000000,223259880000000,233124845000000,242103160000000,253215151000000,257747033000000,263442244000000,266387723000000,269807817000000,276136188000000,-,-,-,49782252000000,50937120000000,47815633000000,50547526000000,61000537000000,62048901000000,60563714000000,58482658000000,65459993000000,52385546000000,56127104000000,62003471000000,55325178000000,52966142000000,66964160000000,-,-,-,5252803000000,5847393000000,4537855000000,7684354000000,11053851000000,11193411000000,11688544000000,11043412000000,13150715000000,5043585000000,5180576000000,6287664000000,4884926000000,5555083000000,9360693000000,242179521000000,262174324000000,301752090000000,339357244000000,352564497000000,378235718000000,63119716000000,69211291000000,87260662000000,91604067000000,89684076000000,102287702000000,179059805000000,192963033000000,214491428000000,247753177000000,262880421000000,275948016000000,200653482000000,201866745000000,239575376000000,243771415000000,230400881000000,236806988000000,19060144000000,22726092000000,42186747000000,44344857000000,21738865000000,26407832000000,28979,25520,22000,26020,26120,28160,31800,35620,41820,47500,53360,50620,49000,46500,46450,38650,45200,47350,48050,55800,48000,53900,57500,73400
SK하이닉스,A000660,164779,KR7000660001,"전기,전자",13,반도체와 반도체 장비,G453010,37963500,54488000,72679000,39050000,53761000,74019000,25083000,41429000,62098500,48983000,65668500,82814000,54753500,71704500,92096000,28975500,46499500,66398000,21707,22131,21506,21622,22184,22157,22624,22575,23278,24725,25161,25889,27768,27768,28237,28670,28609,28894,-,-,-,29797655000000,29329452000000,29166995000000,34319500000000,37501577000000,40730453000000,49125123000000,53257080000000,57377252000000,65131501000000,63032264000000,63671751000000,67142787000000,69259297000000,69267173000000,-,-,-,8332966000000,7628630000000,7162415000000,9150581000000,9737793000000,9825955000000,12746637000000,12479404000000,13888426000000,17965494000000,15321477000000,15405525000000,18895063000000,19856421000000,18768114000000,-,-,-,21464689000000,21700822000000,22004580000000,25168919000000,27763784000000,30904498000000,36378486000000,40777676000000,43488826000000,47166007000000,47710787000000,48266226000000,48247724000000,49402876000000,50499059000000,-,-,-,3655717000000,3940927000000,4243645000000,6289518000000,6692278000000,8100085000000,8719691000000,10370507000000,11416788000000,6772655000000,6452201000000,6838766000000,7198892000000,8606534000000,8128767000000,-,-,-,448026000000,286132000000,597751000000,1898678000000,2468509000000,3055529000000,3121329000000,4328543000000,4692193000000,1102130000000,537025000000,495484000000,649050000000,1264260000000,1077862000000,29677906000000,32216026000000,45418464000000,63658335000000,64789494000000,71173853000000,8290203000000,8192496000000,11597545000000,16806004000000,16846299000000,19264756000000,21387703000000,24023530000000,33820919000000,46852331000000,47943195000000,51909097000000,18797998000000,17197975000000,30109434000000,40445066000000,26990733000000,31900418000000,4323595000000,2960483000000,10642219000000,15539984000000,2016391000000,4758914000000,46300,42650,33700,30250,28700,32000,39750,46250,50800,67400,86300,76200,81700,85000,74300,61600,75600,71000,80600,91000,84000,86200,83000,118500
NAVER,A035420,266961,KR7035420009,서비스업,26,양방향미디어와서비스,G502050,29859000,45873500,65104500,32996500,45256500,65075500,40554500,57676000,75733000,35219500,53396000,71645000,35218000,55170000,75216500,39785500,60014000,79797000,2348,2204,2219,2346,2479,2568,2678,2532,2655,3050,3408,3489,3593,3570,3580,3612,3745,3857,-,-,-,4525184094283,4927455875640,5995261107201,6441452189643,7201514565819,7620181109693,8367388514094,8528795965484,9914242793452,10896141416540,11436575803347,11806716744718,13766033857041,14675445319033,15452559797909,-,-,-,2136584631075,2293343709233,1767634951065,2171533454244,2253602479270,2476356704304,2989532947479,2845412181520,4038266047126,4847641693637,5167000852015,5369199936746,6310797316027,6717594049563,8040822582917,-,-,-,2388599463208,2634112166407,4227626156136,4269918735399,4947912086549,5143824405389,5377855566615,5683383783964,5875976746326,6048499722903,6269574951332,6437516807972,7455236541014,7957851269470,7411737214992,-,-,-,937280220152,987281364295,1013075223770,1082247281196,1129631366847,1200676275220,1309059864248,1363615953332,1397713834674,1510861770282,1630275004395,1664815000078,1732064462097,1902467957491,1360779374259,-,-,-,165036146535,213223506226,198000157034,210876050870,171420229303,215798264368,153751654038,281758577701,68386763908,87585903290,27756852975,85268053088,134874581865,90682203810,235342965699,4385913018000,6370635180592,8019251559914,9881190909324,12299527120786,17014238663770,2116334499000,2241036317652,2714065324965,3932050396031,5795601052206,8759106628557,2269578519000,4129598862940,5305186234949,5949140513293,6503926068580,8255132035213,3251157100000,4022629619982,4678468928032,5586904533355,6593400065244,5304145900386,516986279000,759072951187,770101670207,627901873332,396821062465,844996977149,138194,128982,103144,130983,129181,142200,177449,160427,172442,169240,149611,169039,156822,153217,143801,124000,124000,114500,155000,180000,163500,268000,297500,286000
삼성바이오로직스,A207940,877059,KR7207940008,의약품,9,제약,G352020,-,-,-,-,-,-,13500000,26500000,44500000,15500000,30000000,43000000,16000000,29500000,50000000,17000000,31000000,50000000,-,-,-,-,-,-,1724,1735,2064,2089,2107,2191,2461,2488,2628,2688,2717,2884,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5944971453683,6032874721390,6137199099932,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1553373834473,1589676044998,1638363579495,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4391597619210,4443198676392,4498835520437,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,207197182334,307691125961,274582011290,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,36653025843,52018676934,56081371017,-,-,-,-,-,6424201164962,-,-,-,-,-,1825417992598,-,-,-,-,-,4598783172364,-,-,-,-,-,1164776873641,-,-,-,-,-,240974799963,-,-,-,-,-,-,-,144000,174500,295500,343000,365500,487000,420500,536000,388000,318500,320500,309500,394000,455000,784000,697000,804000
카카오,A035720,258801,KR7035720002,서비스업,26,양방향미디어와서비스,G502050,48733822.5,83945415.5,105334256,23115186.5,41274779.5,56575283,18818670,36133627,52467865.5,23352232,39901688.5,65522693,21040884,38087874,57888590.5,26000000,50000000,77000000,2248,2265,2293,2572,2627,2738,2692,2689,2629,2623,2621,3052,2764,2794,2857,2716,2676,2746,-,-,-,5189698790097,5214828719604,5220795942649,5494637681345,5810052118888,6494097939872,7724874126348,7734027089020,7710898617892,8074978102543,8178307832023,8785300175527,9495806064231,10042994999034,11232623887656,-,-,-,1772972395012,1703390806828,1700339760762,1747671806745,1817898693962,2048873064957,1972722709846,1951012747364,2126314762356,2437025878531,2512320775786,2901354765472,3447995710427,3341525267918,3762807718531,-,-,-,3416726395085,3511437912776,3520456181887,3746965874600,3992153424926,4445224874915,5752151416502,5783014341656,5584583855536,5637952224012,5665987056237,5883945410055,6047810353804,6701469731116,7469816169125,-,-,-,242483260813,376519484836,-,443786599893,468442772945,515412543057,-,-,-,-,-,-,-,-,-,-,-,-,10949664522,13238886896,13625904398,54485548398,12502580952,39901788492,14649452555,22494359446,7384215276,17563668178,30992493982,51454314410,79899414481,145222363913,143728038530,3188477733309,5484117180416,6349428454887,7959542105267,8737255755774,11953970238956,603002737682,1781173329468,1841608649520,2332384540899,2997138004486,4526241211441,2585474995627,3702943850948,4507819805367,5627157564368,5740117751288,7427729027515,932151827086,1464232790315,-,-,-,-,78764757714,65455116983,125093899312,15888859209,-341924578348,173359671915,23483,25691,24748,22780,20151,18686,16719,15595,16759,20131,29504,27698,26594,23180,24084,22078,20772,26592,26996,30406,31111,54592,72357,75066
LG화학,A051910,356361,KR7051910008,화학,8,화학,G151010,16600000,31500000,50400000,19700000,39875000,52375000,19600000,36800000,57500000,19500000,40800000,55500000,24900000,42600000,58700000,21300000,39400000,61300000,13936,13935,14188,14900,14863,15318,16834,16750,16930,17457,17638,18348,19655,19667,20132,20090,20009,19979,-,-,-,18860285000000,19826108000000,20039691000000,22171179000000,22671119000000,23707550000000,26415499000000,27399282000000,28419260000000,31212285000000,32435547000000,33530759000000,37121128000000,38576295000000,40018869000000,-,-,-,5753936000000,6362347000000,6367397000000,7265334000000,7136483000000,7585752000000,9905259000000,10390608000000,11161946000000,14012994000000,15156692000000,16039976000000,19705039000000,20733879000000,21198289000000,-,-,-,13106349000000,13463761000000,13672294000000,14905845000000,15534636000000,16121798000000,16510240000000,17008674000000,17257314000000,17199291000000,17278855000000,17490783000000,17416089000000,17842416000000,18820580000000,-,-,-,4874092000000,5219229000000,5054278000000,6486668000000,6382062000000,6397083000000,6553590000000,7051853000000,7234858000000,6639073000000,7177444000000,7347303000000,7115729000000,6935191000000,7507281000000,-,-,-,338125000000,375484000000,297428000000,548097000000,590322000000,545452000000,552744000000,493395000000,346600000000,211938000000,83823000000,137185000000,36347000000,419070000000,570387000000,18578728000000,20487060000000,25041221000000,28944137000000,34024426000000,41388894000000,5475206000000,6436093000000,8702644000000,11622009000000,16640637000000,22598454000000,13103522000000,14050967000000,16338577000000,17322128000000,17383789000000,18790440000000,20206583000000,20659296000000,25698014000000,28183013000000,28625042000000,30076510000000,1148531000000,1280994000000,2021973000000,1519312000000,376104000000,682408000000,228000,269500,264500,327000,333500,263500,242000,252000,298000,281000,396500,396000,394000,332500,365500,352500,367000,360000,300000,306500,306500,501000,670000,823000
삼성SDI,A006400,126362,KR7006400006,"전기,전자",13,전기제품,G453520,18000000,32833333.33,49333333.33,19250000,34500000,50750000,18250000,31500000,52500000,18500000,32500000,49500000,17250000,35250000,53250000,16750000,33000000,53000000,11195,11163,11177,9698,9422,9374,9080,9145,9356,9753,9820,10296,10569,10650,10772,11428,11066,11199,-,-,-,15256809959738,15886721947545,15243770091514,14682063200777,15244087897070,15600335198265,16343312554723,16890462037885,18425974558943,19554270209306,19765807258363,19736996217646,19886909228403,20539962732324,20809397616941,-,-,-,5028728387794,4685321568588,4126836233328,3898300791516,4085520822170,4342465284250,4697117677587,5134791712612,6390574284800,7244721232338,7248584680800,6981375568954,7422640142719,7887838809741,7844724722005,-,-,-,10228081571944,11201400378957,11116933858186,10783762409261,11158567074900,11257869914015,11646194877136,11755670325273,12035400274143,12309548976968,12517222577563,12755620648692,12464269085684,12652123922583,12964672894936,-,-,-,1290705975689,1317241427588,1289989982137,1304779107036,1454310799174,1708005320174,1908874317210,2247955562862,2522796294050,2304063855366,2404505708738,2567937571530,2397530029531,2558614011125,3087240977278,-,-,-,-717233567701,955810825452,-35166313566,81653755730,186593245824,134953146057,160273440564,104677077983,214092435385,57896315369,160200994690,217371635030,728532029,47696807401,240688533453,16225303457752,14900311234207,15751476329733,19349721183929,19852096448004,21534232266829,4972110604907,3936201007249,4299476832291,7124501967739,7191751252868,8175305378713,11253192852845,10964110226958,11451999497442,12225219216190,12660345195136,13358926888116,7569330839945,5200822510213,6321560921969,9158272454945,10097426164132,11294770446035,25685765743,211111190212,643193862964,745049185447,402366429569,630966297526,143500,111500,104000,130500,99700,107500,98100,103500,138000,165500,203000,210500,200000,215000,259500,204500,218000,239500,220000,233000,245500,369500,433500,564000
기아,A000270,106641,KR7000270009,운수장비,15,자동차,G251020,15500000,31000000,48000000,16000000,32000000,49500000,16500000,32500000,50500000,16500000,33000000,56500000,16500000,33500000,55000000,18500000,33500000,54000000,33904,33900,34069,34046,34114,34015,34007,34527,34752,34670,34621,34967,35643,35671,35706,35334,35347,35381,-,-,-,48283495000000,49429691000000,47883214000000,52038568000000,52808714000000,54564065000000,52816224000000,52708443000000,52083175000000,53119956000000,54495969000000,55427022000000,55686471000000,58339974000000,61922751000000,-,-,-,23686499000000,24163484000000,22300266000000,25573796000000,25658460000000,27564182000000,25841609000000,25478422000000,24737756000000,25461832000000,26136489000000,26690527000000,26942733000000,29437889000000,32878232000000,-,-,-,24596996000000,25266207000000,25582948000000,26464772000000,27150254000000,26999883000000,26974615000000,27230021000000,27345419000000,27658124000000,28359480000000,28736495000000,28743738000000,28902085000000,29044519000000,-,-,-,12649367000000,14449981000000,12698855000000,12843896000000,13578443000000,14107692000000,12562201000000,14060127000000,14074306000000,12444350000000,14506654000000,15089541000000,14566900000000,11368841000000,16321783000000,-,-,-,944584000000,825686000000,664368000000,765378000000,389598000000,-291767000000,431958000000,331897000000,297741000000,649104000000,505394000000,325804000000,265969000000,126309000000,133683000000,45980113000000,50889260000000,52294438000000,51786605000000,55344798000000,60490443000000,21776082000000,24309836000000,25433261000000,24543141000000,26366660000000,30598771000000,24204031000000,26579424000000,26861177000000,27243464000000,28978138000000,29891672000000,49521447000000,52712906000000,53535680000000,54169813000000,58145959000000,59168096000000,2630600000000,2754640000000,968018000000,1155943000000,1826659000000,1487585000000,45550,45000,50500,56000,49100,44000,42500,39050,36700,38050,31800,33300,31050,30850,35150,32550,35500,44000,45700,44650,25450,32600,47450,62600
카카오뱅크,A323410,1133217,KR7323410001,은행,22,은행,G401010,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
셀트리온,A068270,413046,KR7068270008,의약품,9,제약,G352020,11580333.33,23015666.67,32253333.33,12000000,22666666.67,32333333.33,12000000,23833333.33,31833333.33,13833333.33,27000000,36833333.33,14000000,28000000,41500000,14166666.67,28166666.67,43000000,1003,1017,1058,1096,1107,1206,1280,1261,1438,1452,1487,1611,1857,1886,2023,2104,2135,2171,-,-,-,2735225329883,2855823467484,2919028328949,3071180994192,3162702476928,3289069744774,3523220168604,3569810597349,3464136087240,3502490712372,3684048956675,3790810594030,4124016574502,4349747992228,4638291092433,-,-,-,755355726390,791691356587,795116967521,838277542078,815742893736,826508543857,884071179863,837311067468,816981082531,858740538622,941704590066,981890241187,1119381893909,1184287816869,1283792460780,-,-,-,1979869603493,2064132110897,2123911361428,2232903452114,2346959583192,2462561200917,2639148988741,2732499529881,2647155004709,2643750173750,2742344366609,2808920352843,3004634680593,3165460175359,3354498631653,-,-,-,108458518866,185034818685,168270996386,196578133699,246148187493,232087939031,244981297241,263438799387,231104119202,221703639804,234974551991,289054863024,372847105071,428799157639,548771357386,-,-,-,11802293898,59597356551,58613294621,67093736595,115248323475,113968465159,83239210885,82973481832,54661186777,63021445145,78290987720,61595204568,105292021638,138607540999,175820069105,2748230541703,3021941007472,3458733133237,3540626673954,3893691606446,5047695702044,938389810418,822974206572,887138719425,907848812346,986733418125,1592540899881,1809840731285,2198966800900,2571594413812,2632777861608,2906958188321,3455154802163,603412768883,670580961669,949079965214,982074959799,1128459877886,1849115532111,158281750300,180451985827,400728217868,253563110762,297969202613,519232380257,57789,65817,57871,67569,94708,82226,93076,93847,81317,102731,132187,192453,286123,279215,273685,195816,169300,193218,156166,159921,184126,306384,254340,342230
