corp_code,corp_name,stock_code,modify_date
260985,한빛네트,36720,20170630
264529,엔플렉스,40130,20170630
358545,동서정보기술,55000,20170630
231567,애드모바일,32600,20170630
247939,씨모스,37600,20170630
359614,리더컴,56140,20170630
153551,허메스홀딩스,12400,20170630
344746,유티엑스,45880,20170630
261188,글로포스트,37830,20170630
268020,쏠라엔텍,30390,20170630
269287,보홍,41320,20170630
475286,동북아1호선박투자회사,78420,20170630
250775,에듀아크,46350,20170630
114321,데코,13650,20170630
191108,엘앤씨피,15390,20170630
167378,희훈디앤지,19640,20170630
225210,퓨쳐인포넷,58690,20170630
223346,쓰리디넷,35400,20170630
174129,제일저축은행,24100,20170630
114826,제일창업투자,26540,20170630
173333,현대DSF,16510,20170630
687599,네프로아이티,950030,20170630
256292,자강,36790,20170630
271431,케이엠에스,38830,20170630
154727,에버리소스,20070,20170630
246189,제이에스,37110,20170630
154204,태창기업,7490,20170630
152631,에이치비이에너지,17300,20170630
107923,남한제지,1950,20170630
358095,코어비트,56850,20170630
510215,동북아8호선박투자회사,82110,20170630
347619,한국통신데이타,45760,20170630
372013,케너텍,62730,20170630
353735,다휘,55250,20170630
186540,코오롱아이넷,22520,20170630
128759,캠브리지코오롱,4620,20170630
535588,네오세미테크,89240,20170630
264981,디에이치패션,45260,20170630
231521,핸디소프트,32380,20170630
159908,케이엠에이치,9690,20170630
259493,씨엘엘씨디,35710,20170630
359641,현대푸드시스템,114410,20170630
103325,고제,2540,20170630
161639,메리츠종합금융,12420,20170630
211271,제넥셀세인,34660,20170630
388272,쓰리디월드,65340,20170630
264796,스톰이앤에프,43680,20170630
134909,소예,35010,20170630
236368,엠엔에프씨,48640,20170630
684547,하이트맥주,103150,20170630
251385,보광티에스,66690,20170630
262682,아인스엠앤엠,40740,20170630
234555,씨엔씨엔터프라이즈,38420,20170630
507257,아이알디,84810,20170630
417963,바이나믹,67850,20170630
543523,코크렙제7호위탁관리부동산투자회사,86720,20170630
300566,엔빅스,54170,20170630
299376,선팩테크,54010,20170630
112068,마이크로닉스,1190,20170630
257194,블루스톤디앤아이,33720,20170630
477372,신지소프트,78700,20170630
465410,맥쿼리센트럴오피스기업구조조정부동산투자회사,76850,20170630
331760,테스텍,48510,20170630
200761,중앙디자인,30030,20170630
268297,에코페트로시스템,42870,20170630
161301,한림창업투자,21060,20170630
237260,헤쎄나,36270,20170630
297970,미래에셋굿라이프혼합형자녀를위한투자회사10-1,37510,20170630
107358,일공공일안경콘택트,32030,20170630
115427,신동방CP,4660,20170630
267474,지앤알,43630,20170630
134051,셀런,13240,20170630
596066,한국베트남15-1유전해외자원개발투자회사,93820,20170630
347363,에이치원바이오,52310,20170630
150226,씨앤중공업,8400,20170630
152914,FnC코오롱,1370,20170630
158839,제너비오믹스,17010,20170630
159281,케드콤,11050,20170630
210537,지엔텍홀딩스,65410,20170630
240370,동부씨엔아이,44640,20170630
247887,아이피에스,51820,20170630
268358,에스브이에이치,46240,20170630
316488,제이콤,60750,20170630
264130,옥션,43790,20170630
540304,네이쳐글로벌,88020,20170630
617299,GB블루오션베트남주식혼합형투자회사1호,94950,20170630
262275,엠씨티티코어,52210,20170630
200798,에이스앤파트너스,32930,20170630
335924,지앤디윈텍,61050,20170630
111591,인터피온반도체,14010,20170630
189343,솔로몬저축은행,7800,20170630
252588,엠트론스토리지테크놀로지,46320,20170630
267997,에스티앤아이,31800,20170630
367376,사이노젠,64060,20170630
299686,유퍼트,60670,20170630
463050,엑스로드,74140,20170630
238913,선우중공업,68770,20170630
107446,남양,3020,20170630
114303,엘지데이콤,15940,20170630
318617,LG파워콤,45820,20170630
267775,동산진흥,31960,20170630
394574,티이씨,67950,20170630
110176,한국기술산업,8320,20170630
349787,지케이파워,54020,20170630
136554,스타맥스,17050,20170630
144562,유성티에스아이,24870,20170630
370547,네오리소스,58550,20170630
242439,케이알,35950,20170630
134060,씨앤상선,790,20170630
392600,투미비티,58900,20170630
259855,코아정보시스템,39990,20170630
385451,케이에스리소스,66340,20170630
258944,세계투어,47600,20170630
798530,동양밸류오션기업인수목적,122290,20170630
451268,케이이엔지,77960,20170630
336570,사이버패스,63280,20170630
363325,산양전기,79870,20170630
148188,으뜸상호저축은행,32150,20170630
508566,국제개발,80570,20170630
133928,세신,4230,20170630
540784,골든브릿지더블유엠경매부동산일호투자회사,84160,20170630
298252,엘앤피아너스,61140,20170630
264556,에이스일렉트로닉스,38690,20170630
581000,디앤샵,90090,20170630
359094,더체인지,54120,20170630
686970,다산자기관리부동산투자회사,105380,20170630
255309,써니트렌드,35500,20170630
362380,뉴젠비아이티,54650,20170630
244862,룩소네이트,33880,20170630
301015,한서제약,44070,20170630
297165,현대오토넷,42100,20170630
105767,LG마이크론,16990,20170630
173397,서광건설산업,1600,20170630
