종목,심볼번호,고유번호,업종,업종코드,WICS,WICS코드,time,avg_salary,employee_num,자산총계,부채총계,자본총계,매출액,당기순이익,시가,발행주식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
셀트리온헬스케어,554024,91990,도매,84,제약,G352020,2015_1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
셀트리온헬스케어,554024,91990,도매,84,제약,G352020,2015_2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
셀트리온헬스케어,554024,91990,도매,84,제약,G352020,2015_3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
셀트리온헬스케어,554024,91990,도매,84,제약,G352020,2015_4,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
셀트리온헬스케어,554024,91990,도매,84,제약,G352020,2016_1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
셀트리온헬스케어,554024,91990,도매,84,제약,G352020,2016_2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
셀트리온헬스케어,554024,91990,도매,84,제약,G352020,2016_3,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
셀트리온헬스케어,554024,91990,도매,84,제약,G352020,2016_4,56375000,106,0,0,0,0,0,0,"112,084,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
셀트리온헬스케어,554024,91990,도매,84,제약,G352020,2017_1,13671201,115,0,0,0,0,0,0,"112,084,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
셀트리온헬스케어,554024,91990,도매,84,제약,G352020,2017_2,25375000,115,"1,909,588,099,810","1,182,823,522,817","726,764,576,993","237,501,156,760","77,543,917,833",0,"112,084,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
셀트리온헬스케어,554024,91990,도매,84,제약,G352020,2017_3,36375000,126,"2,920,085,902,354","1,156,396,434,351","1,763,689,468,003","198,049,485,664","30,714,274,484",51000,"136,688,120",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
