종목,심볼번호,고유번호,업종,업종코드,WICS,WICS코드,분기,자산,부채,자본,매출액,액면가
SK머티리얼즈,110051,36490,반도체,159,디스플레이장비 및 부품,G454020,2015_4,6.65122E+11,2.88765E+11,3.76356E+11,3.3802E+11,115900
SK머티리얼즈,110051,36490,반도체,159,디스플레이장비 및 부품,G454020,2016_1,6.93844E+11,3.2011E+11,3.73735E+11,97337587647,112000
SK머티리얼즈,110051,36490,반도체,159,디스플레이장비 및 부품,G454020,2016_2,8.22722E+11,4.46064E+11,3.76658E+11,1.16508E+11,119000
SK머티리얼즈,110051,36490,반도체,159,디스플레이장비 및 부품,G454020,2016_3,8.31378E+11,4.2798E+11,4.03398E+11,1.23695E+11,156400
SK머티리얼즈,110051,36490,반도체,159,디스플레이장비 및 부품,G454020,2016_4,9.0311E+11,4.65971E+11,4.37139E+11,4.61444E+11,178800
SK머티리얼즈,110051,36490,반도체,159,디스플레이장비 및 부품,G454020,2017_1,9.04055E+11,5.77298E+11,3.26757E+11,1.16369E+11,163900
SK머티리얼즈,110051,36490,반도체,159,디스플레이장비 및 부품,G454020,2017_2,9.79994E+11,6.24559E+11,3.55435E+11,1.2423E+11,197200
SK머티리얼즈,110051,36490,반도체,159,디스플레이장비 및 부품,G454020,2017_3,1.06392E+12,6.78519E+11,3.85405E+11,1.31496E+11,177000
SK머티리얼즈,110051,36490,반도체,159,디스플레이장비 및 부품,G454020,2017_4,1.11801E+12,7.0987E+11,4.08137E+11,5.12294E+11,180300
SK머티리얼즈,110051,36490,반도체,159,디스플레이장비 및 부품,G454020,2018_1,1.23255E+12,8.00225E+11,4.3232E+11,1.42296E+11,147900
SK머티리얼즈,110051,36490,반도체,159,디스플레이장비 및 부품,G454020,2018_2,1.31794E+12,9.15859E+11,4.02078E+11,1.57512E+11,180100
SK머티리얼즈,110051,36490,반도체,159,디스플레이장비 및 부품,G454020,2018_3,1.33725E+12,9.68337E+11,3.6891E+11,1.85984E+11,182400
SK머티리얼즈,110051,36490,반도체,159,디스플레이장비 및 부품,G454020,2018_4,1.39843E+12,9.95127E+11,4.03303E+11,6.87252E+11,150000
SK머티리얼즈,110051,36490,반도체,159,디스플레이장비 및 부품,G454020,2019_1,1.44802E+12,1.0391E+12,4.08925E+11,1.84256E+11,172800
SK머티리얼즈,110051,36490,반도체,159,디스플레이장비 및 부품,G454020,2019_2,1.49167E+12,1.04325E+12,4.48418E+11,1.82974E+11,156500
SK머티리얼즈,110051,36490,반도체,159,디스플레이장비 및 부품,G454020,2019_3,1.51682E+12,1.0283E+12,4.88521E+11,2.01965E+11,166500
SK머티리얼즈,110051,36490,반도체,159,디스플레이장비 및 부품,G454020,2019_4,1.61583E+12,1.09553E+12,5.20306E+11,7.72194E+11,185800
SK머티리얼즈,110051,36490,반도체,159,디스플레이장비 및 부품,G454020,2020_1,1.87044E+12,1.34914E+12,5.21303E+11,2.12336E+11,135200
SK머티리얼즈,110051,36490,반도체,159,디스플레이장비 및 부품,G454020,2020_2,1.85969E+12,1.30045E+12,5.59241E+11,2.27452E+11,208800
SK머티리얼즈,110051,36490,반도체,159,디스플레이장비 및 부품,G454020,2020_3,1.95924E+12,1.49048E+12,4.68752E+11,2.46695E+11,225300
SK머티리얼즈,110051,36490,반도체,159,디스플레이장비 및 부품,G454020,2020_4,2.03863E+12,1.53394E+12,5.0469E+11,9.54981E+11,357800
셀트리온헬스케어,554024,91990,도매,84,제약,G352020,2017_2,1.90959E+12,1.18282E+12,7.26765E+11,2.37501E+11,0
셀트리온헬스케어,554024,91990,도매,84,제약,G352020,2017_3,2.92009E+12,1.1564E+12,1.76369E+12,1.98049E+11,51000
셀트리온헬스케어,554024,91990,도매,84,제약,G352020,2017_4,2.87495E+12,1.16747E+12,1.70747E+12,9.20922E+11,97740
셀트리온헬스케어,554024,91990,도매,84,제약,G352020,2018_1,2.88623E+12,1.1117E+12,1.77453E+12,1.28366E+11,97649
셀트리온헬스케어,554024,91990,도매,84,제약,G352020,2018_2,2.88179E+12,1.09281E+12,1.78898E+12,1.83753E+11,102051
셀트리온헬스케어,554024,91990,도매,84,제약,G352020,2018_3,2.98328E+12,1.19622E+12,1.78706E+12,2.12671E+11,84171
셀트리온헬스케어,554024,91990,도매,84,제약,G352020,2018_4,2.94857E+12,1.31309E+12,1.63548E+12,7.13487E+11,71487
셀트리온헬스케어,554024,91990,도매,84,제약,G352020,2019_1,2.86789E+12,1.24749E+12,1.6204E+12,2.20513E+11,61675
셀트리온헬스케어,554024,91990,도매,84,제약,G352020,2019_2,2.93865E+12,1.30934E+12,1.62931E+12,2.84767E+11,53358
셀트리온헬스케어,554024,91990,도매,84,제약,G352020,2019_3,2.91306E+12,1.28259E+12,1.63046E+12,2.82036E+11,47937
셀트리온헬스케어,554024,91990,도매,84,제약,G352020,2019_4,2.8489E+12,1.18301E+12,1.66589E+12,1.10088E+12,52172
셀트리온헬스케어,554024,91990,도매,84,제약,G352020,2020_1,3.11651E+12,1.37385E+12,1.74265E+12,3.56902E+11,68942
셀트리온헬스케어,554024,91990,도매,84,제약,G352020,2020_2,3.32826E+12,1.53942E+12,1.78884E+12,4.20284E+11,109738
셀트리온헬스케어,554024,91990,도매,84,제약,G352020,2020_3,3.59502E+12,1.71911E+12,1.87591E+12,4.63416E+11,86104
셀트리온헬스케어,554024,91990,도매,84,제약,G352020,2020_4,3.7397E+12,1.80677E+12,1.93293E+12,1.6276E+12,156600
에코프로비엠,1160363,247540,일반전기전자,72,전기제품,G453520,2020_1,6.53124E+11,2.77507E+11,3.75618E+11,1.6768E+11,63000
에코프로비엠,1160363,247540,일반전기전자,72,전기제품,G453520,2020_2,7.06845E+11,3.08408E+11,3.98438E+11,1.89943E+11,124600
에코프로비엠,1160363,247540,일반전기전자,72,전기제품,G453520,2020_3,7.42198E+11,3.01834E+11,4.40365E+11,2.50204E+11,136000
에코프로비엠,1160363,247540,일반전기전자,72,전기제품,G453520,2020_4,7.98986E+11,3.31669E+11,4.67318E+11,8.54749E+11,177400
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2015_4,1.6839E+11,1.09301E+11,59089213713,2.35129E+11,8956
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2016_1,1.76066E+11,1.16905E+11,59161503865,48856869893,7342
