종목,심볼번호,고유번호,업종,업종코드,WICS,WICS코드,연도,자산,부채,자본,매출액,액면가
SK머티리얼즈,110051,36490,반도체,159,디스플레이장비 및 부품,G454020,2015,6.65122E+11,2.88765E+11,3.76356E+11,3.3802E+11,115900
SK머티리얼즈,110051,36490,반도체,159,디스플레이장비 및 부품,G454020,2016,9.0311E+11,4.65971E+11,4.37139E+11,4.61444E+11,178800
SK머티리얼즈,110051,36490,반도체,159,디스플레이장비 및 부품,G454020,2017,1.11801E+12,7.0987E+11,4.08137E+11,5.12294E+11,180300
SK머티리얼즈,110051,36490,반도체,159,디스플레이장비 및 부품,G454020,2018,1.39843E+12,9.95127E+11,4.03303E+11,6.87252E+11,150000
SK머티리얼즈,110051,36490,반도체,159,디스플레이장비 및 부품,G454020,2019,1.61583E+12,1.09553E+12,5.20306E+11,7.72194E+11,185800
SK머티리얼즈,110051,36490,반도체,159,디스플레이장비 및 부품,G454020,2020,2.03863E+12,1.53394E+12,5.0469E+11,9.54981E+11,357800
셀트리온헬스케어,554024,91990,도매,84,제약,G352020,2017,2.87495E+12,1.16747E+12,1.70747E+12,9.20922E+11,97740
셀트리온헬스케어,554024,91990,도매,84,제약,G352020,2018,2.94857E+12,1.31309E+12,1.63548E+12,7.13487E+11,71487
셀트리온헬스케어,554024,91990,도매,84,제약,G352020,2019,2.8489E+12,1.18301E+12,1.66589E+12,1.10088E+12,52172
셀트리온헬스케어,554024,91990,도매,84,제약,G352020,2020,3.7397E+12,1.80677E+12,1.93293E+12,1.6276E+12,156600
에코프로비엠,1160363,247540,일반전기전자,72,전기제품,G453520,2020,7.98986E+11,3.31669E+11,4.67318E+11,8.54749E+11,177400
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2015,1.6839E+11,1.09301E+11,59089213713,2.35129E+11,8956
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2016,2.02669E+11,1.15318E+11,87351067945,2.49732E+11,13258
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2017,2.65476E+11,1.42171E+11,1.23305E+11,4.0302E+11,40330
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2018,3.30982E+11,1.87992E+11,1.42989E+11,5.05664E+11,34211
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2019,4.16201E+11,2.84381E+11,1.31821E+11,3.13264E+11,20535
엘앤에프,398701,66970,IT부품,160,전기제품,G453520,2020,4.66217E+11,2.68612E+11,1.97606E+11,3.56106E+11,70979
카카오게임즈,1137383,293490,디지털컨텐츠,154,게임엔터테인먼트,G502040,2020,1.30991E+12,2.84532E+11,1.02538E+12,4.95521E+11,46300
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2016,4.03341E+11,55157747142,3.48184E+11,1.07979E+11,11315
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2017,4.53301E+11,1.11266E+11,3.42035E+11,1.09568E+11,25460
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2018,3.50825E+11,75243840838,2.75581E+11,1.27076E+11,16847
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2019,2.96259E+11,61598029106,2.34661E+11,1.13648E+11,15230
위메이드,444329,112040,디지털컨텐츠,154,게임엔터테인먼트,G502040,2020,3.23371E+11,67350352265,2.5602E+11,1.26242E+11,19625
셀트리온제약,541349,68760,제약,66,제약,G352020,2015,4.66772E+11,2.30537E+11,2.36234E+11,74732429050,15201
셀트리온제약,541349,68760,제약,66,제약,G352020,2016,5.10022E+11,1.65375E+11,3.44648E+11,1.04811E+11,21847
셀트리온제약,541349,68760,제약,66,제약,G352020,2017,5.19619E+11,1.76646E+11,3.42974E+11,1.3586E+11,57171
셀트리온제약,541349,68760,제약,66,제약,G352020,2018,4.52444E+11,1.82409E+11,2.70035E+11,1.4688E+11,60067
셀트리온제약,541349,68760,제약,66,제약,G352020,2019,4.7098E+11,1.90949E+11,2.80031E+11,1.73513E+11,39075
셀트리온제약,541349,68760,제약,66,제약,G352020,2020,5.48075E+11,2.47514E+11,3.00561E+11,2.33568E+11,228000
씨젠,788773,96530,제약,66,생명과학 도구 및 서비스,G352030,2015,1.94048E+11,58744276352,1.35303E+11,65136597357,19398
씨젠,788773,96530,제약,66,생명과학 도구 및 서비스,G352030,2016,2.07618E+11,65388144420,1.4223E+11,73693589458,17614
씨젠,788773,96530,제약,66,생명과학 도구 및 서비스,G352030,2017,1.79724E+11,39493222802,1.4023E+11,87662544746,16810
씨젠,788773,96530,제약,66,생명과학 도구 및 서비스,G352030,2018,1.63806E+11,35449567140,1.28356E+11,1.02265E+11,8141
씨젠,788773,96530,제약,66,생명과학 도구 및 서비스,G352030,2019,1.95716E+11,42889887717,1.52826E+11,1.21953E+11,15403
씨젠,788773,96530,제약,66,생명과학 도구 및 서비스,G352030,2020,1.09457E+12,4.48169E+11,6.46406E+11,1.12522E+12,96391
에이치엘비,199252,28300,운송장비·부품,75,조선,G201065,2015,1.85172E+11,70782178668,1.1439E+11,38460683507,9651
에이치엘비,199252,28300,운송장비·부품,75,조선,G201065,2016,1.86707E+11,62633806253,1.24073E+11,30138866814,5923
에이치엘비,199252,28300,운송장비·부품,75,조선,G201065,2017,1.88193E+11,74514456267,1.13679E+11,23006912167,18238
에이치엘비,199252,28300,운송장비·부품,75,조선,G201065,2018,3.04041E+11,94517242572,2.09524E+11,36185983416,35945
에이치엘비,199252,28300,운송장비·부품,75,조선,G201065,2019,3.62612E+11,1.7337E+11,1.89242E+11,38420748245,51920
에이치엘비,199252,28300,운송장비·부품,75,조선,G201065,2020,7.06477E+11,1.49048E+11,5.57429E+11,56177400696,48512
천보,897752,278280,화학,65,디스플레이장비 및 부품,G454020,2018,1.34748E+11,27149629451,1.07598E+11,1.20089E+11,0
천보,897752,278280,화학,65,디스플레이장비 및 부품,G454020,2019,2.35237E+11,24633258680,2.10604E+11,1.35311E+11,62600
천보,897752,278280,화학,65,디스플레이장비 및 부품,G454020,2020,2.60701E+11,36151209798,2.2455E+11,1.55491E+11,185400
에코프로,536541,86520,IT부품,160,화학,G151010,2016,3.46357E+11,1.72675E+11,1.73682E+11,1.70483E+11,7067
에코프로,536541,86520,IT부품,160,화학,G151010,2017,4.48146E+11,2.63741E+11,1.84405E+11,3.29012E+11,27181
에코프로,536541,86520,IT부품,160,화학,G151010,2018,6.67515E+11,4.35654E+11,2.31861E+11,6.69407E+11,22832
에코프로,536541,86520,IT부품,160,화학,G151010,2019,9.27835E+11,4.80854E+11,4.46981E+11,7.02273E+11,15323
에코프로,536541,86520,IT부품,160,화학,G151010,2020,1.28316E+12,6.94451E+11,5.88714E+11,9.4681E+11,34833
CJ ENM,265324,35760,방송서비스,152,방송과엔터테인먼트,G502020,2015,2.98823E+12,1.6381E+12,1.35013E+12,2.30861E+12,189400
CJ ENM,265324,35760,방송서비스,152,방송과엔터테인먼트,G502020,2016,2.75359E+12,1.3907E+12,1.36289E+12,2.2086E+12,162900
CJ ENM,265324,35760,방송서비스,152,방송과엔터테인먼트,G502020,2017,2.80182E+12,1.31771E+12,1.4841E+12,2.26001E+12,230900
CJ ENM,265324,35760,방송서비스,152,방송과엔터테인먼트,G502020,2018,6.75495E+12,3.3293E+12,3.42565E+12,3.42682E+12,202700
CJ ENM,265324,35760,방송서비스,152,방송과엔터테인먼트,G502020,2019,5.43491E+12,2.28301E+12,3.15189E+12,3.78972E+12,159300
CJ ENM,265324,35760,방송서비스,152,방송과엔터테인먼트,G502020,2020,6.27992E+12,2.49474E+12,3.78518E+12,3.39118E+12,140000
알테오젠,989619,196170,연구·개발,98,생물공학,G352010,2015,39385453998,834622780,38550831218,4726609249,6692
알테오젠,989619,196170,연구·개발,98,생물공학,G352010,2016,47949615182,2720917760,45228697422,6843719835,5432
알테오젠,989619,196170,연구·개발,98,생물공학,G352010,2017,43013379969,3168348340,39845031629,12104355843,7402
알테오젠,989619,196170,연구·개발,98,생물공학,G352010,2018,71380649814,4684230884,66696418930,13703078873,9769
알테오젠,989619,196170,연구·개발,98,생물공학,G352010,2019,85979112272,15774959263,70204153009,29229181883,22774
알테오젠,989619,196170,연구·개발,98,생물공학,G352010,2020,1.59207E+11,22935590498,1.36271E+11,42425842457,120133
스튜디오드래곤,1168684,253450,오락·문화,106,방송과엔터테인먼트,G502020,2017,4.59454E+11,91010398750,3.68443E+11,2.86789E+11,64000
스튜디오드래곤,1168684,253450,오락·문화,106,방송과엔터테인먼트,G502020,2018,5.12375E+11,1.11089E+11,4.01286E+11,3.79606E+11,93400
스튜디오드래곤,1168684,253450,오락·문화,106,방송과엔터테인먼트,G502020,2019,5.81557E+11,1.53307E+11,4.2825E+11,4.68661E+11,81500
스튜디오드래곤,1168684,253450,오락·문화,106,방송과엔터테인먼트,G502020,2020,7.573E+11,1.47952E+11,6.09347E+11,5.25729E+11,93800
아프리카TV,399694,67160,소프트웨어,155,양방향미디어와서비스,G502050,2015,68044829047,19965730226,48079098821,62867913447,28000
아프리카TV,399694,67160,소프트웨어,155,양방향미디어와서비스,G502050,2016,83426396974,26121591428,57304805546,79830291786,24350
아프리카TV,399694,67160,소프트웨어,155,양방향미디어와서비스,G502050,2017,1.03442E+11,33334044109,70108112309,94552464738,19500
아프리카TV,399694,67160,소프트웨어,155,양방향미디어와서비스,G502050,2018,1.57544E+11,64650995009,92893024473,1.26628E+11,39600
아프리카TV,399694,67160,소프트웨어,155,양방향미디어와서비스,G502050,2019,2.2855E+11,1.06761E+11,1.21789E+11,1.67869E+11,67700
아프리카TV,399694,67160,소프트웨어,155,양방향미디어와서비스,G502050,2020,2.92038E+11,1.44478E+11,1.47559E+11,1.96566E+11,60700
에스티팜,871833,237690,제약,66,제약,G352020,2016,3.67779E+11,54533871586,3.13245E+11,2.00362E+11,45250
에스티팜,871833,237690,제약,66,제약,G352020,2017,3.81504E+11,30421483801,3.51083E+11,2.028E+11,32600
에스티팜,871833,237690,제약,66,제약,G352020,2018,3.45505E+11,13936378548,3.31569E+11,97738455805,19950
에스티팜,871833,237690,제약,66,제약,G352020,2019,3.4108E+11,37400526840,3.0368E+11,93256824542,29800
에스티팜,871833,237690,제약,66,제약,G352020,2020,4.4557E+11,1.48817E+11,2.96753E+11,1.24109E+11,105800
동화기업,173032,25900,종이·목재,62,건축자재,G201025,2015,1.14389E+12,5.73431E+11,5.70455E+11,6.74669E+11,25390
동화기업,173032,25900,종이·목재,62,건축자재,G201025,2016,1.21093E+12,5.81432E+11,6.29502E+11,6.90688E+11,21763
동화기업,173032,25900,종이·목재,62,건축자재,G201025,2017,1.22411E+12,5.63613E+11,6.60499E+11,7.78786E+11,22332
동화기업,173032,25900,종이·목재,62,건축자재,G201025,2018,1.22979E+12,5.51296E+11,6.78491E+11,7.59971E+11,20600
동화기업,173032,25900,종이·목재,62,건축자재,G201025,2019,1.44064E+12,7.62944E+11,6.77692E+11,7.17406E+11,16950
동화기업,173032,25900,종이·목재,62,건축자재,G201025,2020,1.58644E+12,8.85359E+11,7.01081E+11,7.44878E+11,51400
위지윅스튜디오,1276327,299900,오락·문화,106,방송과엔터테인먼트,G502020,2019,1.092E+11,38738129702,70461980306,46404117221,5910
위지윅스튜디오,1276327,299900,오락·문화,106,방송과엔터테인먼트,G502020,2020,1.78936E+11,84468284069,94467391317,1.10194E+11,6250
컴투스,476498,78340,디지털컨텐츠,154,게임엔터테인먼트,G502040,2015,5.82148E+11,73141779493,5.09006E+11,4.33532E+11,119000
컴투스,476498,78340,디지털컨텐츠,154,게임엔터테인먼트,G502040,2016,7.11986E+11,77003278942,6.34983E+11,5.1305E+11,87900
컴투스,476498,78340,디지털컨텐츠,154,게임엔터테인먼트,G502040,2017,8.38311E+11,77379483184,7.60931E+11,5.07987E+11,136200
컴투스,476498,78340,디지털컨텐츠,154,게임엔터테인먼트,G502040,2018,9.09301E+11,64804161071,8.44497E+11,4.81755E+11,129000
컴투스,476498,78340,디지털컨텐츠,154,게임엔터테인먼트,G502040,2019,1.00498E+12,79534537081,9.25443E+11,4.69293E+11,108000
컴투스,476498,78340,디지털컨텐츠,154,게임엔터테인먼트,G502040,2020,1.04913E+12,72024414178,9.77108E+11,5.08989E+11,160000
솔브레인,1489648,357780,화학,65,반도체와 반도체 장비,G453010,2020,7.17745E+11,2.09295E+11,5.08451E+11,4.70068E+11,275500
원익IPS,1135941,240810,반도체,159,반도체와 반도체 장비,G453010,2016,2.80654E+11,61731889683,2.18922E+11,2.4409E+11,26300
원익IPS,1135941,240810,반도체,159,반도체와 반도체 장비,G453010,2017,4.09618E+11,96149729181,3.13468E+11,6.30861E+11,33400
원익IPS,1135941,240810,반도체,159,반도체와 반도체 장비,G453010,2018,5.12346E+11,1.4313E+11,3.69216E+11,6.49313E+11,20050
원익IPS,1135941,240810,반도체,159,반도체와 반도체 장비,G453010,2019,8.99162E+11,3.32608E+11,5.66554E+11,6.69242E+11,36550
