종목,심볼번호,고유번호,업종,업종코드,WICS,WICS코드,time,avg_salary,employee_num,자산총계,부채총계,자본총계,매출액,당기순이익,시가,발행주식
삼성전자,126380,5930,"전기,전자",13.0,반도체와 반도체 장비,G453010,2015_1,-,99927,-,-,-,-,-,28979,-
삼성전자,126380,5930,"전기,전자",13.0,반도체와 반도체 장비,G453010,2015_2,-,98999,-,-,-,-,-,25520,-
삼성전자,126380,5930,"전기,전자",13.0,반도체와 반도체 장비,G453010,2015_3,-,98557,-,-,-,-,-,22000,-
삼성전자,126380,5930,"전기,전자",13.0,반도체와 반도체 장비,G453010,2015_4,-,96898,"242,179,521,000,000","63,119,716,000,000","179,059,805,000,000","200,653,482,000,000","19,060,144,000,000",25200,-
삼성전자,126380,5930,"전기,전자",13.0,반도체와 반도체 장비,G453010,2016_1,-,97149,"241,239,789,000,000","62,913,603,000,000","178,326,186,000,000","49,782,252,000,000","5,252,803,000,000",26120,-
삼성전자,126380,5930,"전기,전자",13.0,반도체와 반도체 장비,G453010,2016_2,-,95420,"243,960,673,000,000","62,118,157,000,000","181,842,516,000,000","50,937,120,000,000","5,847,393,000,000",28160,-
삼성전자,126380,5930,"전기,전자",13.0,반도체와 반도체 장비,G453010,2016_3,-,95374,"244,471,456,000,000","64,935,077,000,000","179,536,379,000,000","47,815,633,000,000","4,537,855,000,000",31800,-
삼성전자,126380,5930,"전기,전자",13.0,반도체와 반도체 장비,G453010,2016_4,-,93200,"262,174,324,000,000","69,211,291,000,000","192,963,033,000,000","201,866,745,000,000","22,726,092,000,000",35980,"140,679,337"
삼성전자,126380,5930,"전기,전자",13.0,반도체와 반도체 장비,G453010,2017_1,-,94283,"264,217,372,000,000","74,399,417,000,000","189,817,955,000,000","50,547,526,000,000","7,684,354,000,000",41820,"140,679,337"
삼성전자,126380,5930,"전기,전자",13.0,반도체와 반도체 장비,G453010,2017_2,-,98541,"277,589,436,000,000","76,883,688,000,000","200,705,748,000,000","61,000,537,000,000","11,053,851,000,000",47500,"130,668,494"
삼성전자,126380,5930,"전기,전자",13.0,반도체와 반도체 장비,G453010,2017_3,-,99836,"296,578,579,000,000","85,887,328,000,000","210,691,251,000,000","62,048,901,000,000","11,193,411,000,000",53360,"129,768,494"
