name,symbol,stock_code,type,type_code,WICS,WICS_code,time,assets,dept,equity,income,real_income,price,stock_count,total_value
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2015_4,2.42E+14,6.31E+13,1.79E+14,2.01E+14,1.91E+13,25200,140679337,3.55E+12
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2016_1,2.41E+14,6.29E+13,1.78E+14,4.98E+13,5.25E+12,26120,140679337,3.67E+12
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2016_2,2.44E+14,6.21E+13,1.82E+14,5.09E+13,5.85E+12,28160,140679337,3.96E+12
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2016_3,2.44E+14,6.49E+13,1.80E+14,4.78E+13,4.54E+12,31800,140679337,4.47E+12
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2016_4,2.62E+14,6.92E+13,1.93E+14,2.02E+14,2.27E+13,35980,140679337,5.06E+12
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2017_1,2.64E+14,7.44E+13,1.90E+14,5.05E+13,7.68E+12,41820,140679337,5.88E+12
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2017_2,2.78E+14,7.69E+13,2.01E+14,6.10E+13,1.11E+13,47500,130668494,6.21E+12
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2017_3,2.97E+14,8.59E+13,2.11E+14,6.20E+13,1.12E+13,53360,129768494,6.92E+12
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2017_4,3.02E+14,8.73E+13,2.14E+14,2.40E+14,4.22E+13,51380,129098494,6.63E+12
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2018_1,3.12E+14,8.92E+13,2.23E+14,6.06E+13,1.17E+13,49000,128386494,6.29E+12
