종목,symbol,stock_code,업종,type_code,WICS,WICS_code,분기,자산,부채,자본,매출액,액면가
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2015_4,2.42E+14,6.31E+13,1.79E+14,2.01E+14,25200
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2016_1,2.41E+14,6.29E+13,1.78E+14,4.98E+13,26120
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2016_2,2.44E+14,6.21E+13,1.82E+14,5.09E+13,28160
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2016_3,2.44E+14,6.49E+13,1.80E+14,4.78E+13,31800
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2016_4,2.62E+14,6.92E+13,1.93E+14,2.02E+14,35980
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2017_1,2.64E+14,7.44E+13,1.90E+14,5.05E+13,41820
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2017_2,2.78E+14,7.69E+13,2.01E+14,6.10E+13,47500
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2017_3,2.97E+14,8.59E+13,2.11E+14,6.20E+13,53360
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2017_4,3.02E+14,8.73E+13,2.14E+14,2.40E+14,51380
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2018_1,3.12E+14,8.92E+13,2.23E+14,6.06E+13,49000
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2018_2,3.19E+14,8.56E+13,2.33E+14,5.85E+13,46500
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2018_3,3.37E+14,9.51E+13,2.42E+14,6.55E+13,46450
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2018_4,3.39E+14,9.16E+13,2.48E+14,2.44E+14,39400
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2019_1,3.45E+14,9.19E+13,2.53E+14,5.24E+13,45200
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2019_2,3.43E+14,8.52E+13,2.58E+14,5.61E+13,47350
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2019_3,3.53E+14,8.99E+13,2.63E+14,6.20E+13,48050
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2019_4,3.53E+14,8.97E+13,2.63E+14,2.30E+14,55500
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2020_1,3.57E+14,9.11E+13,2.66E+14,5.53E+13,48000
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2020_2,3.58E+14,8.82E+13,2.70E+14,5.30E+13,53900
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2020_3,3.76E+14,9.97E+13,2.76E+14,6.70E+13,57500
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2020_4,3.78E+14,1.02E+14,2.76E+14,2.37E+14,81000
SK하이닉스,164779,660,"전기,전자",13,반도체와 반도체 장비,G453010,2015_4,2.97E+13,8.29E+12,2.14E+13,1.88E+13,30550
SK하이닉스,164779,660,"전기,전자",13,반도체와 반도체 장비,G453010,2016_1,2.98E+13,8.33E+12,2.15E+13,3.66E+12,28700
SK하이닉스,164779,660,"전기,전자",13,반도체와 반도체 장비,G453010,2016_2,2.93E+13,7.63E+12,2.17E+13,3.94E+12,32000
SK하이닉스,164779,660,"전기,전자",13,반도체와 반도체 장비,G453010,2016_3,2.92E+13,7.16E+12,2.20E+13,4.24E+12,39750
SK하이닉스,164779,660,"전기,전자",13,반도체와 반도체 장비,G453010,2016_4,3.22E+13,8.19E+12,2.40E+13,1.72E+13,44750
SK하이닉스,164779,660,"전기,전자",13,반도체와 반도체 장비,G453010,2017_1,3.43E+13,9.15E+12,2.52E+13,6.29E+12,50800
SK하이닉스,164779,660,"전기,전자",13,반도체와 반도체 장비,G453010,2017_2,3.75E+13,9.74E+12,2.78E+13,6.69E+12,67400
SK하이닉스,164779,660,"전기,전자",13,반도체와 반도체 장비,G453010,2017_3,4.07E+13,9.83E+12,3.09E+13,8.10E+12,86300
SK하이닉스,164779,660,"전기,전자",13,반도체와 반도체 장비,G453010,2017_4,4.54E+13,1.16E+13,3.38E+13,3.01E+13,77300
SK하이닉스,164779,660,"전기,전자",13,반도체와 반도체 장비,G453010,2018_1,4.91E+13,1.27E+13,3.64E+13,8.72E+12,81700
SK하이닉스,164779,660,"전기,전자",13,반도체와 반도체 장비,G453010,2018_2,5.33E+13,1.25E+13,4.08E+13,1.04E+13,85000
SK하이닉스,164779,660,"전기,전자",13,반도체와 반도체 장비,G453010,2018_3,5.74E+13,1.39E+13,4.35E+13,1.14E+13,74300
SK하이닉스,164779,660,"전기,전자",13,반도체와 반도체 장비,G453010,2018_4,6.37E+13,1.68E+13,4.69E+13,4.04E+13,61300
SK하이닉스,164779,660,"전기,전자",13,반도체와 반도체 장비,G453010,2019_1,6.51E+13,1.80E+13,4.72E+13,6.77E+12,75600
SK하이닉스,164779,660,"전기,전자",13,반도체와 반도체 장비,G453010,2019_2,6.30E+13,1.53E+13,4.77E+13,6.45E+12,71000
SK하이닉스,164779,660,"전기,전자",13,반도체와 반도체 장비,G453010,2019_3,6.37E+13,1.54E+13,4.83E+13,6.84E+12,80600
SK하이닉스,164779,660,"전기,전자",13,반도체와 반도체 장비,G453010,2019_4,6.48E+13,1.68E+13,4.79E+13,2.70E+13,96000
SK하이닉스,164779,660,"전기,전자",13,반도체와 반도체 장비,G453010,2020_1,6.71E+13,1.89E+13,4.82E+13,7.20E+12,84000
SK하이닉스,164779,660,"전기,전자",13,반도체와 반도체 장비,G453010,2020_2,6.93E+13,1.99E+13,4.94E+13,8.61E+12,86200
SK하이닉스,164779,660,"전기,전자",13,반도체와 반도체 장비,G453010,2020_3,6.93E+13,1.88E+13,5.05E+13,8.13E+12,83000
SK하이닉스,164779,660,"전기,전자",13,반도체와 반도체 장비,G453010,2020_4,7.12E+13,1.93E+13,5.19E+13,3.19E+13,124500
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2015_4,4.39E+12,2.12E+12,2.27E+12,3.25E+12,130182
