종목,symbol,stock_code,업종,type_code,WICS,WICS_code,연도,자산,부채,자본,매출액,액면가
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2015,2.42E+14,6.31E+13,1.79E+14,2.01E+14,25200
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2016,2.62E+14,6.92E+13,1.93E+14,2.02E+14,35980
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2017,3.02E+14,8.73E+13,2.14E+14,2.40E+14,51380
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2018,3.39E+14,9.16E+13,2.48E+14,2.44E+14,39400
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2019,3.53E+14,8.97E+13,2.63E+14,2.30E+14,55500
삼성전자,126380,5930,"전기,전자",13,반도체와 반도체 장비,G453010,2020,3.78E+14,1.02E+14,2.76E+14,2.37E+14,81000
SK하이닉스,164779,660,"전기,전자",13,반도체와 반도체 장비,G453010,2015,2.97E+13,8.29E+12,2.14E+13,1.88E+13,30550
SK하이닉스,164779,660,"전기,전자",13,반도체와 반도체 장비,G453010,2016,3.22E+13,8.19E+12,2.40E+13,1.72E+13,44750
SK하이닉스,164779,660,"전기,전자",13,반도체와 반도체 장비,G453010,2017,4.54E+13,1.16E+13,3.38E+13,3.01E+13,77300
SK하이닉스,164779,660,"전기,전자",13,반도체와 반도체 장비,G453010,2018,6.37E+13,1.68E+13,4.69E+13,4.04E+13,61300
SK하이닉스,164779,660,"전기,전자",13,반도체와 반도체 장비,G453010,2019,6.48E+13,1.68E+13,4.79E+13,2.70E+13,96000
SK하이닉스,164779,660,"전기,전자",13,반도체와 반도체 장비,G453010,2020,7.12E+13,1.93E+13,5.19E+13,3.19E+13,124500
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2015,4.39E+12,2.12E+12,2.27E+12,3.25E+12,130182
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2016,6.37E+12,2.24E+12,4.13E+12,4.02E+12,155820
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2017,8.02E+12,2.71E+12,5.31E+12,4.68E+12,174447
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2018,9.88E+12,3.93E+12,5.95E+12,5.59E+12,121000
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2019,1.23E+13,5.80E+12,6.50E+12,6.59E+12,187500
NAVER,266961,35420,서비스업,26,양방향미디어와서비스,G502050,2020,1.70E+13,8.76E+12,8.26E+12,5.30E+12,291500
삼성바이오로직스,877059,207940,의약품,9,제약,G352020,2020,6.42E+12,1.83E+12,4.60E+12,1.16E+12,819000
카카오,258801,35720,서비스업,26,양방향미디어와서비스,G502050,2015,3.19E+12,6.03E+11,2.59E+12,9.32E+11,23583
카카오,258801,35720,서비스업,26,양방향미디어와서비스,G502050,2016,5.48E+12,1.78E+12,3.70E+12,1.46E+12,15534
LG화학,356361,51910,화학,8,화학,G151010,2015,1.86E+13,5.48E+12,1.31E+13,2.02E+13,332500
